place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJJ3LtPBR1hlQR6YmzsI-mh2k,"Ashton Plumbing, Heating & Air Conditioning",,False,1910,https://www.callashton.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Drichmond,"Ashton Plumbing, Heating & Air Conditioning (Owner)",https://www.google.com/maps/contrib/118410775383846083437,https://lh5.googleusercontent.com/p/AF1QipMWrEBMy6XGLT5weGRpUBxHQGteaLxw1cpb7YLf=w408-h272-k-no,Heating contractor,"Heating contractor, Air conditioning contractor, Air conditioning repair service, Air conditioning system supplier, Drainage service, Furnace repair service, Furnace store, Hot water system supplier, HVAC contractor, Plumber",4.6,Open 24 hours,,(604) 283-2383,"Ashton Plumbing, Heating & Air Conditioning, 4631 Shell Rd Unit 140, Richmond, BC V6X 3M4","inspection, hot water tank, toilet, faucet, drain, shower, kitchen sink, johnny was, demand, sump","https://www.google.com/maps/place/Ashton+Plumbing,+Heating+%26+Air+Conditioning/data=!4m7!3m6!1s0x548675143ced7227:0x6987a68fb0b389e9!8m2!3d49.1796885!4d-123.103335!16s%2Fg%2F1tg8jf7x!19sChIJJ3LtPBR1hlQR6YmzsI-mh2k?authuser=0&hl=en&rclk=1"
ChIJefmz9dZzhlQRCnVoCGiuGYs,Yaletown Brewing Company,Bustling hangout offering house-brewed beers & a weekly small-batch tasting plus unique pub grub.,False,1183,http://www.mjg.ca/yaletown/,Yaletown Brewing Company (Owner),https://www.google.com/maps/contrib/112613521231731304773,https://lh5.googleusercontent.com/p/AF1QipPehqRq0QO7F5mL1obhgSt2IAhnZkZwusxJWNwS=w408-h544-k-no,Brewery,Brewery,3.9,11:30 a.m.-11 p.m.,,(604) 681-2739,"Yaletown Brewing Company, 1111 Mainland St, Vancouver, BC V6B 2T9","server, happy hour, tip, wings, birthday, salmon, bill, garlic fries, fried pickles, hockey",https://www.google.com/maps/place/Yaletown+Brewing+Company/data=!4m7!3m6!1s0x548673d6f5b3f979:0x8b19ae680868750a!8m2!3d49.275665!4d-123.1209286!16s%2Fg%2F12lngn4yg!19sChIJefmz9dZzhlQRCnVoCGiuGYs?authuser=0&hl=en&rclk=1
ChIJ4S1x8xlxhlQRE8HG0PL5H8Y,Parallel 49 Brewing Company,"Brewery with a low-key tasting room offering its craft beer on tap, plus bar bites & growler fills.",False,1124,http://parallel49brewing.com/,Parallel 49 Brewing Company (Owner),https://www.google.com/maps/contrib/106334848557977236615,https://lh5.googleusercontent.com/p/AF1QipN8G67H4jmla49-PFWtzYZq354f--5uyzWbn2qU=w408-h272-k-no,Brewery,"Brewery, Bar, Beer store, Restaurant",4.4,11 a.m.-12 a.m.,,(604) 558-2739,"Parallel 49 Brewing Company, 1950 Triumph St, Vancouver, BC V5L 1K5","patio, food truck, tasting room, renovation, donuts, waffle, chicken wings, oktoberfest, panda, radler",https://www.google.com/maps/place/Parallel+49+Brewing+Company/data=!4m7!3m6!1s0x54867119f3712de1:0xc61ff9f2d0c6c113!8m2!3d49.2837864!4d-123.064411!16s%2Fg%2F1hc7fgnh7!19sChIJ4S1x8xlxhlQRE8HG0PL5H8Y?authuser=0&hl=en&rclk=1
ChIJ8-9z9eBzhlQRrFZDlPTIfTw,33 Acres Brewing Company,"House-brewed craft beer & cafe fare offered in a cool, minimalist space with rustic accents.",False,1021,http://33acresbrewing.com/,33 Acres Brewing Company (Owner),https://www.google.com/maps/contrib/113370624637335559445,https://lh5.googleusercontent.com/p/AF1QipNAYT0NaH8Zx-UKNH3DA8Zy08GkVeMBGZw2Eayq=w408-h271-k-no,Brewery,Brewery,4.4,11 a.m.-11 p.m.,,(604) 620-4589,"33 Acres Brewing Company, 15 W 8th Ave, Vancouver, BC V5Y 1M8","brunch, growler, hipster, tasting room, ocean, breakfast, belgian tripel, acoustics, experimental, mezcal",https://www.google.com/maps/place/33+Acres+Brewing+Company/data=!4m7!3m6!1s0x548673e0f573eff3:0x3c7dc8f4944356ac!8m2!3d49.2639299!4d-123.1053388!16s%2Fg%2F1ptyr7wdr!19sChIJ8-9z9eBzhlQRrFZDlPTIfTw?authuser=0&hl=en&rclk=1
ChIJjSjM_2l9C0ERrXmfPB-HK2Q,Red Truck Beer Company,,False,592,http://redtruckbeer.com/,Red Truck Beer Company (Owner),https://www.google.com/maps/contrib/113307732173079165209,https://lh5.googleusercontent.com/p/AF1QipNOUtWZ2aB5B9zFn62UunenwuyxZMy3cjOvghl7=w408-h271-k-no,Brewery,"Brewery, Beer distributor, Beer store, Liquor store",4.3,11 a.m.-9 p.m.,,(604) 682-4733,"Red Truck Beer Company, 295 E 1st Ave, Vancouver, BC V5T 1A7","patio, fries, live music, hot dog, bike, chicken burger, bourbon, brisket, blackberry, grilled cheese",https://www.google.com/maps/place/Red+Truck+Beer+Company/data=!4m7!3m6!1s0x410b7d69ffcc288d:0x642b871f3c9f79ad!8m2!3d49.2689044!4d-123.0965019!16s%2Fg%2F1q6n2qhv4!19sChIJjSjM_2l9C0ERrXmfPB-HK2Q?authuser=0&hl=en&rclk=1
ChIJ5RKyJG1xhlQRCRMrZwEMF6o,Strathcona Beer Company,"Ultra-modern, industrial setting for pairing house-brewed craft beers with pizza.",False,468,http://www.strathconabeer.com/,Strathcona Beer Company (Owner),https://www.google.com/maps/contrib/112832676964421905901,https://lh5.googleusercontent.com/p/AF1QipNxY3QPIUKN_CtwNRV2uY_8E3z7TpetoinkKRDw=w408-h272-k-no,Brewpub,"Brewpub, Brewery, Restaurant",4.4,12-10 p.m.,,(778) 379-9050,"Strathcona Beer Company, 895 E Hastings St, Vancouver, BC V6A 1R8","salad, space, flight, IPA, the hawaiian pizza, sour, pilsner, radler, solid, interior design",https://www.google.com/maps/place/Strathcona+Beer+Company/data=!4m7!3m6!1s0x5486716d24b212e5:0xaa170c01672b1309!8m2!3d49.2812549!4d-123.0850594!16s%2Fg%2F11c0rl1_6m!19sChIJ5RKyJG1xhlQRCRMrZwEMF6o?authuser=0&hl=en&rclk=1
ChIJ67olRJtwhlQR_VR0S96yej4,Bridge Brewing Company,,False,430,http://www.bridgebrewing.com/,Bridge Brewing Company (Owner),https://www.google.com/maps/contrib/104740379916556379848,https://lh5.googleusercontent.com/p/AF1QipPLHsvU7oTKaguL1PSsAU_6EOAdeQxqc6x3G7A=w408-h408-k-no,Brewery,Brewery,4.7,11 a.m.-10 p.m.,,(604) 770-2739,"Bridge Brewing Company, 1448 Charlotte Rd, North Vancouver, BC V7J 1H2","tacos, patio, blood orange, bourbon, tasting room, growler, parking, the veggie, lemon, bacon",https://www.google.com/maps/place/Bridge+Brewing+Company/data=!4m7!3m6!1s0x5486709b4425baeb:0x3e7ab2de4b7454fd!8m2!3d49.3100803!4d-123.0338619!16s%2Fg%2F1pzr2kmlw!19sChIJ67olRJtwhlQR_VR0S96yej4?authuser=0&hl=en&rclk=1
ChIJRSiiiBVxhlQRzQymByrAcbQ,East Van Brewing Company,,False,415,http://www.eastvanbrewing.com/,East Van Brewing Company (Owner),https://www.google.com/maps/contrib/113722589265378977800,https://lh5.googleusercontent.com/p/AF1QipOvDgZwXtXkGEy3NFT75LKI1Vyml34HzB8sSt6L=w408-h306-k-no,Brewery,Brewery,4.5,12-11 p.m.,,(604) 558-3822,"East Van Brewing Company, 1675 Venables St, Vancouver, BC V5L 2H1","flight, space, lobster, patio, lager, server, jasmine rice, business, salty, mac and cheese",https://www.google.com/maps/place/East+Van+Brewing+Company/data=!4m7!3m6!1s0x5486711588a22845:0xb471c02a07a60ccd!8m2!3d49.2767882!4d-123.0711192!16s%2Fg%2F11f1jwqv20!19sChIJRSiiiBVxhlQRzQymByrAcbQ?authuser=0&hl=en&rclk=1
ChIJTfoa7MpxhlQRPNYeSnPchvI,Black Kettle Brewing Company,,False,386,http://www.blackkettlebrewing.com/,Black Kettle Brewing Company (Owner),https://www.google.com/maps/contrib/102290265861379775085,https://lh5.googleusercontent.com/p/AF1QipMSwB4TsL9S5jmpWIqqoWAF5FWrr4d_R0GHN5_H=w426-h240-k-no,Brewery,Brewery,4.5,12-9 p.m.,,(604) 969-1501,"Black Kettle Brewing Company, 720 Copping St, North Vancouver, BC V7M 3N2","burger, patio, food truck, server, ale, onion rings, pet, growler, party, gem",https://www.google.com/maps/place/Black+Kettle+Brewing+Company/data=!4m7!3m6!1s0x548671caec1afa4d:0xf286dc734a1ed63c!8m2!3d49.3171148!4d-123.0925539!16s%2Fg%2F1ptvyf35t!19sChIJTfoa7MpxhlQRPNYeSnPchvI?authuser=0&hl=en&rclk=1
ChIJ0wQb_bFxhlQR8_3KkEW69Ww,Superflux Beer Company,,False,380,http://www.superfluxbeer.com/,Superflux Beer Company (Owner),https://www.google.com/maps/contrib/112417678455179328057,https://lh5.googleusercontent.com/p/AF1QipNzd2qbrXuOlU3gyE5m7k2GzbwY3JRbSq0NOkYn=w408-h272-k-no,Brewery,"Brewery, Lounge, Restaurant",4.7,12-9 p.m.,,,"Superflux Beer Company, 505 Clark Dr, Vancouver, BC V5L 3H6","hot dogs, space, tasting room, patio, lager, stout, salad, flavours, hazy ipa, gummy",https://www.google.com/maps/place/Superflux+Beer+Company/data=!4m7!3m6!1s0x548671b1fd1b04d3:0x6cf5ba4590cafdf3!8m2!3d49.2801561!4d-123.0775631!16s%2Fg%2F11fwj3dx4y!19sChIJ0wQb_bFxhlQR8_3KkEW69Ww?authuser=0&hl=en&rclk=1
