place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJVX-XAEJzhlQRtBJrGuxnSQg,Bosley's,"Retail chain carrying food, supplies, toys & other products for pets such as dogs, cats & reptiles.",True,78,https://store.petvalu.ca/location/7029/,Bosley's (Owner),https://www.google.com/maps/contrib/103770779690644432420,https://lh5.googleusercontent.com/p/AF1QipM-6puAUTvdmt0khs97qxXA1nDrJi-yAkn_xJqY=w408-h306-k-no,Pet store,Pet store,4.5,9 a.m.-7 p.m.,,(604) 266-2667,"Bosley's, 3502 W 41st Ave, Vancouver, BC V6N 3E6","food, products",https://www.google.com/maps/place/Bosley%27s/data=!4m7!3m6!1s0x5486734200977f55:0x84967ec1a6b12b4!8m2!3d49.2346047!4d-123.182402!16s%2Fg%2F1vxvhk5k!19sChIJVX-XAEJzhlQRtBJrGuxnSQg?authuser=0&hl=en&rclk=1
ChIJG3yvCHRxhlQR2rd-vZwya3g,Canadian Fishing Company,,True,33,http://www.canfisco.com/,Canadian Fishing Company (Owner),,https://lh5.googleusercontent.com/p/AF1QipNRSt7POXCj2xnnJdS0YtwIX3zx1MDmlm0tUvAl=w426-h240-k-no,Fish processing,Fish processing,4,8 a.m.-5 p.m.,"Saturday, Sunday",(604) 681-0211,"Canadian Fishing Company, 301 E Waterfront Rd, Vancouver, BC V6A 0B3",,https://www.google.com/maps/place/Canadian+Fishing+Company/data=!4m7!3m6!1s0x5486717408af7c1b:0x786b329cbd7eb7da!8m2!3d49.2853731!4d-123.0974917!16s%2Fg%2F1wzt21nz!19sChIJG3yvCHRxhlQR2rd-vZwya3g?authuser=0&hl=en&rclk=1
ChIJiUwIWIBxhlQRzKG3k_9C-T8,Joe Fortes Seafood & Chop House,"Vibrant, booth-lined dining room for seafood & steak, with a popular oyster bar & rooftop patio.",False,6635,http://www.joefortes.ca/,Joe Fortes Seafood & Chop House (Owner),https://www.google.com/maps/contrib/114495899722095633472,https://lh5.googleusercontent.com/p/AF1QipOZojeMfRYnWpTQzSVmqGykVlY9a3_yJ97LE5un=w408-h272-k-no,Seafood restaurant,Seafood restaurant,4.5,11 a.m.-11 p.m.,,(604) 669-1940,"Joe Fortes Seafood & Chop House, 777 Thurlow St, Vancouver, BC V6E 3V5","happy hour, piano, chicken and waffles, sablefish, truffle fries, beef carpaccio, blue plate special, pavlova, salmon wellington, lobster and shrimp roll",https://www.google.com/maps/place/Joe+Fortes+Seafood+%26+Chop+House/data=!4m7!3m6!1s0x5486718058084c89:0x3ff942ff93b7a1cc!8m2!3d49.2849486!4d-123.1245531!16s%2Fm%2F04yjpr_!19sChIJiUwIWIBxhlQRzKG3k_9C-T8?authuser=0&hl=en&rclk=1
ChIJOQXpDoZxhlQRwQ2A6Ulh9-w,Cardero's Restaurant,"Seafood, burgers & classic comfort dishes on expansive marina-side patio plus weekend brunch.",False,5394,https://www.vancouverdine.com/carderos/,Cardero's Restaurant (Owner),https://www.google.com/maps/contrib/110013995718370207543,https://lh5.googleusercontent.com/p/AF1QipNzed43i1Vry-cErN-I0WyMOUP89mi1NRdEofi_=w408-h272-k-no,Seafood restaurant,"Seafood restaurant, Pub",4.5,11:30 a.m.-11 p.m.,,(604) 669-7666,"Cardero's Restaurant, 1583 Coal Harbour Quay, Vancouver, BC V6G 3E7","patio, sablefish, harbour, wok, halibut, truffle fries, seawall, cedar plank salmon, ling cod, buddha bowl",https://www.google.com/maps/place/Cardero%27s+Restaurant/data=!4m7!3m6!1s0x548671860ee90539:0xecf76149e9800dc1!8m2!3d49.2916101!4d-123.1274816!16s%2Fg%2F113jd0fkk!19sChIJOQXpDoZxhlQRwQ2A6Ulh9-w?authuser=0&hl=en&rclk=1
ChIJZ04tZ9ZzhlQRDsJZp_cOS4U,Blue Water Cafe,Destination in a heritage warehouse space offering sustainable seafood with innovative touches.,False,2779,http://www.bluewatercafe.net/,Blue Water Cafe (Owner),https://www.google.com/maps/contrib/104031234057247974385,https://lh5.googleusercontent.com/p/AF1QipNxRb5tv6HtVD8I8nlW-GkFwrqmbUnXHLGjqbuU=w408-h270-k-no,Seafood restaurant,Seafood restaurant,4.7,4:30-10 p.m.,,(604) 688-8078,"Blue Water Cafe, 1095 Hamilton St, Vancouver, BC V6B 5T4","sablefish, wine list, halibut, fine dining, tenderloin, kobe beef, seafood tasting, sommelier, jellyfish, spicy tuna roll",https://www.google.com/maps/place/Blue+Water+Cafe/data=!4m7!3m6!1s0x548673d6672d4e67:0x854b0ef7a759c20e!8m2!3d49.276155!4d-123.1211291!16s%2Fm%2F04xhnhq!19sChIJZ04tZ9ZzhlQRDsJZp_cOS4U?authuser=0&hl=en&rclk=1
ChIJW1pAMXxxhlQRNjNjIzra2fA,Fanny Bay Oyster Bar & Shellfish Market,"Shellfish market & contemporary seafood eatery featuring a raw bar, sandwiches, fried fare & more.",False,2529,http://www.fannybayoysters.com/location/oyster-bar--shellfish-market,Fanny Bay Oyster Bar & Shellfish Market (Owner),https://www.google.com/maps/contrib/107840746268648706221,https://lh5.googleusercontent.com/p/AF1QipM1abdG6r1qU4JmPl45EWv2I7WMg2ruP7hZL3Jx=w408-h272-k-no,Oyster bar restaurant,"Oyster bar restaurant, Bar, Oyster supplier, Restaurant, Seafood market, Seafood restaurant",4.5,2-10 p.m.,,(778) 379-9510,"Fanny Bay Oyster Bar & Shellfish Market, 762 Cambie St, Vancouver, BC V6B 2P2","happy hour, paella, sablefish, pork belly, mussels and clams, truffle fries, tuna tartare, deep fried, the caesar, dungeness crab",https://www.google.com/maps/place/Fanny+Bay+Oyster+Bar+%26+Shellfish+Market/data=!4m7!3m6!1s0x5486717c31405a5b:0xf0d9da3a23633336!8m2!3d49.2786079!4d-123.1141059!16s%2Fg%2F11cmnfh9p1!19sChIJW1pAMXxxhlQRNjNjIzra2fA?authuser=0&hl=en&rclk=1
ChIJr34m8M5zhlQRn3iyiebMMtI,The Vancouver Fish Company,"Airy, harbourside seafood eatery with soaring ceilings, patio seating & craft beers on tap.",False,2354,https://www.vanfish.com/,The Vancouver Fish Company (Owner),https://www.google.com/maps/contrib/101780433099205882351,https://lh5.googleusercontent.com/p/AF1QipO05bf-v-UnqlrcwtSN85qOHwKr36gBKFQvf4ox=w408-h272-k-no,Seafood restaurant,Seafood restaurant,4.2,11:30 a.m.-10 p.m.,,(604) 559-3474,"The Vancouver Fish Company, 1517 Anderson St, Vancouver, BC V6H 3R5","happy hour, patio, halibut, walnut, sablefish, seafood linguini, surf and turf, mice, humboldt squid, salmon burger",https://www.google.com/maps/place/The+Vancouver+Fish+Company/data=!4m7!3m6!1s0x548673cef0267eaf:0xd232cce689b2789f!8m2!3d49.2706529!4d-123.1366117!16s%2Fg%2F11b6hmxggc!19sChIJr34m8M5zhlQRn3iyiebMMtI?authuser=0&hl=en&rclk=1
ChIJMZpqcC51hlQR_fFyw7kTx4k,Sun Sui Wah Seafood Restaurant,"Classy Chinese dining room known for its dim sum, roasted squab & Alaskan King Crab.",False,2323,https://sunsuiwahvancouver.ca/,Sun Sui Wah Seafood Restaurant (Owner),https://www.google.com/maps/contrib/105379530429632149375,https://lh5.googleusercontent.com/p/AF1QipP-TBRKhIdu3lkMOVXGe6ufAceoSZD-PKbtursl=w408-h270-k-no,Seafood restaurant,Seafood restaurant,4.1,"10:30 a.m.-3 p.m., 5-10 p.m.",,(604) 872-8822,"Sun Sui Wah Seafood Restaurant, 3888 Main St, Vancouver, BC V5V 3N9","dim sum, chinese, dumplings, cantonese, peking duck, rice rolls, bbq pork, squab, sesame balls, mango pudding",https://www.google.com/maps/place/Sun+Sui+Wah+Seafood+Restaurant/data=!4m7!3m6!1s0x5486752e706a9a31:0x89c713b9c372f1fd!8m2!3d49.250525!4d-123.1006073!16s%2Fm%2F04yqwln!19sChIJMZpqcC51hlQR_fFyw7kTx4k?authuser=0&hl=en&rclk=1
ChIJkYhNAMxzhlQR3FNxyaa4ETg,Go Fish,Popular takeaway joint offers simple menu of sustainable seafood from fish 'n' chips to tacos.,False,2084,https://www.facebook.com/pages/Go-Fish/335133559903806%3Fnr,Go Fish (Owner),https://www.google.com/maps/contrib/114477721119090004182,https://lh5.googleusercontent.com/p/AF1QipO1vi8yJ8kVkKqfweg6mC7KW6NkIb1irFvROpU=w426-h240-k-no,Fish & chips restaurant,"Fish & chips restaurant, Seafood restaurant",4.3,11:30 a.m.-6 p.m.,Monday,(604) 730-5040,"Go Fish, 1505 W 1st Ave, Vancouver, BC V6J 1E8","halibut, salmon, tacos, rain, dock, po boy, tuna, patio, seawall, shack",https://www.google.com/maps/place/Go+Fish/data=!4m7!3m6!1s0x548673cc004d8891:0x3811b8a6c97153dc!8m2!3d49.2715703!4d-123.1399695!16s%2Fm%2F04yj1xf!19sChIJkYhNAMxzhlQR3FNxyaa4ETg?authuser=0&hl=en&rclk=1
ChIJ9R182tZzhlQRgBcJ3U3p7t8,Rodney's Oyster House,"Casual, airy seafood spot with a long bar, a lively atmosphere & happy hour specials.",False,2023,http://www.rohvan.com/,Rodney's Oyster House (Owner),https://www.google.com/maps/contrib/111445260312528915976,https://lh5.googleusercontent.com/p/AF1QipPAtPL9gn5cZhpHPm5ypDehKgnncs2_DlufR3OH=w408-h306-k-no,Oyster bar restaurant,"Oyster bar restaurant, Restaurant, Seafood restaurant",4.4,4-10 p.m.,,(604) 609-0080,"Rodney's Oyster House, 1228 Hamilton St, Vancouver, BC V6B 6L2","happy hour, clam chowder, tide, poutine, halibut, pan fried, hot sauces, shrimp cocktail, crab dip, caesar",https://www.google.com/maps/place/Rodney%27s+Oyster+House/data=!4m7!3m6!1s0x548673d6da7c1df5:0xdfeee94ddd091780!8m2!3d49.2743262!4d-123.1231342!16s%2Fm%2F04yjws4!19sChIJ9R182tZzhlQRgBcJ3U3p7t8?authuser=0&hl=en&rclk=1
