place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJs8lGyt1zhlQRssgeHveYgiU,Canadian Tire,,False,3991,https://www.canadiantire.ca/en/store-details/bc/cambie-7th-bc-389.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D389,Canadian Tire (Owner),https://www.google.com/maps/contrib/116649980637182005219,https://lh5.googleusercontent.com/p/AF1QipPgCBfrR56V3sJ-xLn7ANB78YDAV6eq2BRvtko3=w426-h240-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Home improvement store, Oil change service, Party store, Sporting goods store, Tire shop",3.7,9 a.m.-9 p.m.,,(604) 707-2290,"Canadian Tire, 2290 Cambie St, Vancouver, BC V5Z 2T7","bike, tires, tools, inspection, gardening, auto service, gear, brake, parking ticket, flyer",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x548673ddca46c9b3:0x258298f71e1ec8b2!8m2!3d49.2652952!4d-123.1137803!16s%2Fg%2F1ts_68_2!19sChIJs8lGyt1zhlQRssgeHveYgiU?authuser=0&hl=en&rclk=1
ChIJkzFdwdF2hlQRgXWFwDJ5rhc,Canadian Tire,,False,3471,https://www.canadiantire.ca/en/store-details/bc/vancouver-grandview-boundary-bc-604.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D604,Canadian Tire (Owner),https://www.google.com/maps/contrib/118288223897786753708,https://lh5.googleusercontent.com/p/AF1QipPsH3wWihT_7YarJ70QLrxpG_FJbWhIS_7fdLGN=w426-h240-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Home improvement store, Oil change service, Party store, Sporting goods store, Tire shop",3.8,9 a.m.-9 p.m.,,(604) 431-3570,"Canadian Tire, 2830 Bentall St, Vancouver, BC V5M 4H4","self checkout, tires, auto service, hunting, wiper, van, mechanic, car battery, bulb, flyer",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x548676d1c15d3193:0x17ae7932c0857581!8m2!3d49.2596026!4d-123.031032!16s%2Fg%2F1v41_4k3!19sChIJkzFdwdF2hlQRgXWFwDJ5rhc?authuser=0&hl=en&rclk=1
ChIJ_xBOrRl2hlQRUYgMDU3UUDo,Canadian Tire,,False,2390,https://www.canadiantire.ca/en/store-details/bc/burnaby-south-bc-603.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D603,Canadian Tire (Owner),https://www.google.com/maps/contrib/110522340426165424893,https://lh5.googleusercontent.com/p/AF1QipOaykGukarv0bgHoAItX8_px2S-K8bHREWtxNsZ=w408-h306-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Home improvement store, Oil change service, Party store, Sporting goods store, Tire shop",3.8,8 a.m.-9 p.m.,,(604) 451-5888,"Canadian Tire, Marine Way Market, 7200 Market Crossing, Burnaby, BC V5J 0A2","tools, inspection, auto service, backpack, winter tires, mechanic, flat tire, spoke, brake, wheel alignment",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x54867619ad4e10ff:0x3a50d44d0d0c8851!8m2!3d49.2003223!4d-122.9826437!16s%2Fg%2F1tffjgjc!19sChIJ_xBOrRl2hlQRUYgMDU3UUDo?authuser=0&hl=en&rclk=1
ChIJHWzHwvF0hlQRb3btui47PZk,Canadian Tire,,False,2298,https://www.canadiantire.ca/en/store-details/bc/vancouver-sw-marine-bc-605.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D605,Canadian Tire (Owner),https://www.google.com/maps/contrib/113910109818817501964,https://lh5.googleusercontent.com/p/AF1QipPYfDr7NQYNbILkZ24KF4TfMSNGAXHn42yFRkTu=w426-h240-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Oil change service, Sporting goods store, Tire shop",3.9,8 a.m.-9 p.m.,,(604) 336-1086,"Canadian Tire, 8277 Ontario St, Vancouver, BC V5X 0A7","tires, tools, garden, auto service, walking, bike, battery, training, paint, BBQ",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x548674f1c2c76c1d:0x993d3b2ebaed766f!8m2!3d49.2099093!4d-123.1075351!16s%2Fg%2F1w6r7zgf!19sChIJHWzHwvF0hlQRb3btui47PZk?authuser=0&hl=en&rclk=1
ChIJOeYve4BxhlQRfPFG8Wik9YI,Guu Original Thurlow,"Bustling izakaya offering inventive Japanese small plates to go with sake, beer & unique cocktails.",False,1837,https://guu-izakaya.com/Original_QR,Guu Original Thurlow (Owner),https://www.google.com/maps/contrib/117634537816088426326,https://lh5.googleusercontent.com/p/AF1QipM2gnl5g9Uk5E00-PuUsUu0Rv1hhSTE6x6GXlvW=w408-h306-k-no,Izakaya restaurant,"Izakaya restaurant, Japanese restaurant, Tapas restaurant",4.5,"11:30 a.m.-2 p.m., 5-11 p.m.",,(604) 685-8817,"Guu Original Thurlow, 838 Thurlow St, Vancouver, BC V6E 1W2","dishes, yaki udon, tapas, salmon, kimchi fried rice, beef tataki, small plates, chicken karaage, sashimi salad, jellyfish",https://www.google.com/maps/place/Guu+Original+Thurlow/data=!4m7!3m6!1s0x548671807b2fe639:0x82f5a468f146f17c!8m2!3d49.2840014!4d-123.1254447!16s%2Fg%2F1tfv4tq8!19sChIJOeYve4BxhlQRfPFG8Wik9YI?authuser=0&hl=en&rclk=1
ChIJwy3kCYhxhlQRVNbXqCU6bo0,Guu with Garlic,"Bustling izakaya offering inventive Japanese small plates to go with sake, beer & unique cocktails.",False,1500,https://guu-izakaya.com/Garlic_QR,Guu with Garlic (Owner),https://www.google.com/maps/contrib/105072771128399873120,https://lh5.googleusercontent.com/p/AF1QipMFNK58Ng10Os4CLKak9ENH7GcIPRCen_sUkWj4=w408-h272-k-no,Izakaya restaurant,"Izakaya restaurant, Japanese restaurant",4.4,"11:30 a.m.-2:30 p.m., 5-11:30 p.m.",,(604) 685-8678,"Guu with Garlic, 1698 Robson St, Vancouver, BC V6G 1C7","dishes, server, tapas, grilled, salmon, yaki udon, chef, hot pot, small plates, tuna tataki",https://www.google.com/maps/place/Guu+with+Garlic/data=!4m7!3m6!1s0x5486718809e42dc3:0x8d6e3a25a8d7d654!8m2!3d49.2901722!4d-123.1340053!16s%2Fg%2F1tdb8jjk!19sChIJwy3kCYhxhlQRVNbXqCU6bo0?authuser=0&hl=en&rclk=1
ChIJvQ6UDohxhlQR_XhiTxjYBZs,Jang Mo Jib Korean Restaurant,"Mini-chain serving Korean BBQ, rice, noodles & other staples in a low-key, wood-lined environment.",False,1132,http://jangmojib.com/,Jang Mo Jib Korean Restaurant (Owner),https://www.google.com/maps/contrib/103557190162996645181,https://lh5.googleusercontent.com/p/AF1QipNdcn89Wy1O-KWcEP8vUplspNHLdzQVAEfbyM5j=w408-h306-k-no,Korean restaurant,Korean restaurant,3.7,12 p.m.-2 a.m.,,(604) 642-0712,"Jang Mo Jib Korean Restaurant, 808 Bute St, Vancouver, BC V6E 1Y4","servers, karaoke, night, spicy, pork bone soup, hot pot, music, seafood pancake, bbq chicken, crowd",https://www.google.com/maps/place/Jang+Mo+Jib+Korean+Restaurant/data=!4m7!3m6!1s0x548671880e940ebd:0x9b05d8184f6278fd!8m2!3d49.2857582!4d-123.1271311!16s%2Fg%2F1thd6c8j!19sChIJvQ6UDohxhlQR_XhiTxjYBZs?authuser=0&hl=en&rclk=1
ChIJda43-9FzhlQR8bDraTrZvXo,Eat Bar & Patio Haraheri,"Bustling izakaya offering inventive Japanese small plates to go with sake, beer & unique cocktails.",False,1114,https://haraheri.ca/,Eat Bar & Patio Haraheri (Owner),https://www.google.com/maps/contrib/106242500110260664200,https://lh5.googleusercontent.com/p/AF1QipMz6bqae_-toVNfpgBLbfsYE_xs5lf6Kh8K7G7f=w426-h240-k-no,Modern izakaya restaurant,"Modern izakaya restaurant, Fusion restaurant, Japanese restaurant",4.3,"11:30 a.m.-2:30 p.m., 5:30-11 p.m.",,(604) 899-0855,"Eat Bar & Patio Haraheri, 888 Nelson St m101, Vancouver, BC V6Z 2H2","japanese, dishes, server, bento box, tataki, oden, cauliflower, mayo, duck, calamari",https://www.google.com/maps/place/Eat+Bar+%26+Patio+Haraheri/data=!4m7!3m6!1s0x548673d1fb37ae75:0x7abdd93a69ebb0f1!8m2!3d49.2800364!4d-123.1252786!16s%2Fg%2F11rrrx0f6h!19sChIJda43-9FzhlQR8bDraTrZvXo?authuser=0&hl=en&rclk=1
ChIJBaETatp2hlQRDATRPDj8Hvo,Burnaby Palace Restaurant,"Bright, classy space for traditional Chinese fare & dishes with a twist, plus online ordering.",False,1044,https://burnabypalace.ca/%3Futm_source%3Dgoogle%26utm_medium%3Dmaps%26utm_campaign%3Dwebsite,Burnaby Palace Restaurant (Owner),https://www.google.com/maps/contrib/101384396669955473652,https://lh5.googleusercontent.com/p/AF1QipPbMA5eX5atjyOKbFWrcOeXDAVcINuzx5xmeSmb=w408-h270-k-no,Chinese restaurant,Chinese restaurant,4.1,11 a.m.-9 p.m.,,(604) 437-1818,"Burnaby Palace Restaurant, 3110 Boundary Rd, Burnaby, BC V5M 4A2","delivery, ginger beef, chow mein, order, party, green beans, sweet and sour pork, lemon chicken, squid, black bean",https://www.google.com/maps/place/Burnaby+Palace+Restaurant/data=!4m7!3m6!1s0x548676da6a13a105:0xfa1efc383cd1040c!8m2!3d49.2562766!4d-123.0231189!16s%2Fg%2F1tg5z9_z!19sChIJBaETatp2hlQRDATRPDj8Hvo?authuser=0&hl=en&rclk=1
ChIJP0wBP3hxhlQR5bMiXWGm6Zs,Guu with Otokomae,"Bustling izakaya offering inventive Japanese small plates to go with sake, beer & unique cocktails.",False,923,https://guu-izakaya.com/Otokomae_QR,Guu with Otokomae (Owner),https://www.google.com/maps/contrib/108302592201069994159,https://lh5.googleusercontent.com/p/AF1QipOEIVMBOBizvEVPhOzVcn4C5wwrQkC9rtCEVPY=w408-h271-k-no,Izakaya restaurant,"Izakaya restaurant, Japanese restaurant",4.2,11:30 a.m.-11 p.m.,,(604) 685-8682,"Guu with Otokomae, 375 Water St #105, Vancouver, BC V6B 5C6","japanese, dishes, server, atmosphere, tapas, bibimbap, spicy, squid, happy hour, salmon",https://www.google.com/maps/place/Guu+with+Otokomae/data=!4m7!3m6!1s0x548671783f014c3f:0x9be9a6615d22b3e5!8m2!3d49.2847191!4d-123.1103983!16s%2Fg%2F1tf57k_j!19sChIJP0wBP3hxhlQR5bMiXWGm6Zs?authuser=0&hl=en&rclk=1
