place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZ0UuanRuhlQRab4hMds18Uo,Seasons in the Park,"Elevated Pacific Northwest dishes served in a park setting, with panoramic views of the city.",False,2789,http://vancouverdine.com/seasons-park,Seasons in the Park (Owner),https://www.google.com/maps/contrib/102393558985740383827,https://lh5.googleusercontent.com/p/AF1QipMAWLFiF2Q6piY0ZRpLL-wAJiGQPvJNu1Fy_4Uf=w408-h271-k-no,Restaurant,"Restaurant, Bar",4.4,11:30 a.m.-8:30 p.m.,,(604) 874-8008,"Seasons in the Park, W 33rd Ave, Vancouver, BC V5Y 2M4","patio, mountains, prime rib, sablefish, valet parking, wedding reception, romantic, duck confit, the view, truffle mushroom soup",https://www.google.com/maps/place/Seasons+in+the+Park/data=!4m7!3m6!1s0x54866e746a2e4567:0x4af135db3121be69!8m2!3d49.2420056!4d-123.1118562!16s%2Fm%2F04_m_35!19sChIJZ0UuanRuhlQRab4hMds18Uo?authuser=0&hl=en&rclk=1
ChIJB3MMFXV1hlQRFAa0ix8KpvA,Karakoram Restaurant,,False,1934,http://www.karakoramrestaurant.com/,Karakoram Restaurant (Owner),https://www.google.com/maps/contrib/116418755073845587277,https://lh5.googleusercontent.com/p/AF1QipNVX8VA6Nh0Xy-23f10THFWUuruqkJjo7V_LeSx=w426-h240-k-no,Pakistani restaurant,"Pakistani restaurant, Halal restaurant",4,4 p.m.-2 a.m.,,(604) 737-1000,"Karakoram Restaurant, 6990 Victoria Dr, Vancouver, BC V5P 3Y8","chicken karahi, nihari, lamb karahi, lahori chicken, fish pakora, mandi, middle eastern, cutlery, koyla karahi, bhuna",https://www.google.com/maps/place/Karakoram+Restaurant/data=!4m7!3m6!1s0x54867575150c7307:0xf0a60a1f8bb40614!8m2!3d49.2204656!4d-123.0656147!16s%2Fg%2F11f9gxlcgw!19sChIJB3MMFXV1hlQRFAa0ix8KpvA?authuser=0&hl=en&rclk=1
ChIJne5yIJF2hlQR--ivmQJAexw,Jambo Grill Tandoor & Paan House,Diverse menu of East African & Indian dishes in spacious quarters plus delivery service.,False,1534,http://www.jambogrill.ca/,Jambo Grill Tandoor & Paan House (Owner),https://www.google.com/maps/contrib/111742860019533613723,https://lh5.googleusercontent.com/p/AF1QipODPx66Ywd-GX71YKNyFyxN_d-b_sRPUQfgGQRn=w501-h240-k-no,Fusion restaurant,"Fusion restaurant, Bar & grill, Brunch restaurant, Caterer, East African restaurant, Family restaurant, Indian restaurant, Lunch restaurant, Delivery Restaurant, Takeout Restaurant",4.2,11 a.m.-10 p.m.,,(604) 433-5060,"Jambo Grill Tandoor & Paan House, 3219 Kingsway, Vancouver, BC V5R 5K3","indian food, african food, naan, biryani, butter chicken, chai, thali, pili pili, lamb curry, tilapia",https://www.google.com/maps/place/Jambo+Grill+Tandoor+%26+Paan+House/data=!4m7!3m6!1s0x548676912072ee9d:0x1c7b400299afe8fb!8m2!3d49.2349794!4d-123.0371333!16s%2Fg%2F1tdqb866!19sChIJne5yIJF2hlQR--ivmQJAexw?authuser=0&hl=en&rclk=1
ChIJmVo1HEt0hlQRJ4QISlw3B9c,Northern Cafe,"Down-to-earth spot for hearty breakfasts, burgers & sandwiches, plus Chinese-style dishes.",False,1521,http://northerncafeandgrill.com/,Northern Cafe (Owner),https://www.google.com/maps/contrib/100399164148714181434,https://lh5.googleusercontent.com/p/AF1QipMA9xRjxIA_5QycAgHtfm02jZGKx5XnZOAMxzlR=w426-h240-k-no,Restaurant,"Restaurant, Breakfast restaurant, Cafe, Diner, Lunch restaurant",4.8,,,(604) 313-8118,"Northern Cafe, 1640 East Kent Ave S, Vancouver, BC V5P 2S7","gem, pancakes, hash browns, lumber yard, potato salad, greasy spoon, eggs benny, wonton soup, chow mein, 1949",https://www.google.com/maps/place/Northern+Cafe/data=!4m7!3m6!1s0x5486744b1c355a99:0xd707375c4a088427!8m2!3d49.2084927!4d-123.0724719!16s%2Fg%2F1hc1b01q_!19sChIJmVo1HEt0hlQRJ4QISlw3B9c?authuser=0&hl=en&rclk=1
ChIJN5S_tR90hlQRe-FAM4e1PiU,Banh Mi Saigon,"Vietnamese subs with freshly baked bread, plus drinks & desserts, served in a small, buzzy locale.",False,1517,http://www.banhmisaigon.ca/,Banh Mi Saigon (Owner),,https://lh5.googleusercontent.com/p/AF1QipOA_TCprzw_wJcG1M1jhZBom6Vd7yt-kc1A_zlS=w408-h306-k-no,Vietnamese restaurant,Vietnamese restaurant,4.4,8 a.m.-5 p.m.,,(778) 379-9992,"Banh Mi Saigon, 5397 Victoria Dr, Vancouver, BC V5P 3V6","subs, cash, cold cut, lemongrass pork, sugar cane juice, pastries, bacon, crust, veggie sandwich, pate chaud",https://www.google.com/maps/place/Banh+Mi+Saigon/data=!4m7!3m6!1s0x5486741fb5bf9437:0x253eb5873340e17b!8m2!3d49.235371!4d-123.0657716!16s%2Fg%2F11byhjfxyw!19sChIJN5S_tR90hlQRe-FAM4e1PiU?authuser=0&hl=en&rclk=1
ChIJuYnUi0p0hlQR-kwzxxW0SCA,Visions Electronics,,False,1147,https://www.visions.ca/,Visions Electronics (Owner),https://www.google.com/maps/contrib/111745437902890968805,https://lh5.googleusercontent.com/p/AF1QipMiXVLUG5cIBKKMclJyrMXD_IwanO16z4Ccugbl=w424-h240-k-no,Electronics store,"Electronics store, Appliance store, Camera store, Car alarm supplier, Car stereo store, Cell phone accessory store, Cell phone store, Computer accessories store, Computer store, Drone shop",4,10 a.m.-8 p.m.,,(604) 718-6434,"Visions Electronics, 1672 SE Marine Dr, Vancouver, BC V5P 2R6","TV, rhythm, sound bar, car audio, sales manager, extended warranty, store manager, commission, quantum dot display",https://www.google.com/maps/place/Visions+Electronics/data=!4m7!3m6!1s0x5486744a8bd489b9:0x2048b415c7334cfa!8m2!3d49.2104673!4d-123.0724008!16s%2Fg%2F1tplp_vs!19sChIJuYnUi0p0hlQR-kwzxxW0SCA?authuser=0&hl=en&rclk=1
ChIJgU0TMRV0hlQRKMp7sgqv--A,Fruiticana,,False,684,http://www.fruiticana.com/,Fruiticana (Owner),,https://lh5.googleusercontent.com/p/AF1QipNEdBNqJva8xGk4YMKvAgOnJLk5wQ_djRMOQ9bl=w408-h272-k-no,Fruit and vegetable wholesaler,"Fruit and vegetable wholesaler, Supermarket",3.9,9 a.m.-9 p.m.,,(604) 321-9931,"Fruiticana, 6257 Fraser St, Vancouver, BC V5W 3A3","groceries, spices, cashier, sell, fresh, snacks, shelves, frozen, market, varieties",https://www.google.com/maps/place/Fruiticana/data=!4m7!3m6!1s0x5486741531134d81:0xe0fbaf0ab27bca28!8m2!3d49.2276946!4d-123.0910214!16s%2Fg%2F1trsxpp5!19sChIJgU0TMRV0hlQRKMp7sgqv--A?authuser=0&hl=en&rclk=1
ChIJX8Ozfyh0hlQREVCbQEeuWBU,Wally's Burgers,,False,498,http://www.wallysburgers.ca/,Wally's Burgers (Owner),https://www.google.com/maps/contrib/115255495025544112869,https://lh5.googleusercontent.com/p/AF1QipPPjLTfxI1EMI46cnD75gjT0BJr_p8dVIgKRgE=w408-h306-k-no,Hamburger restaurant,"Hamburger restaurant, American restaurant, Fast food restaurant",4.3,12-7 p.m.,"Monday, Sunday",(604) 434-2930,"Wally's Burgers, 2661 E 49th Ave, Vancouver, BC V5S 1J9","milkshake, poutine, bun, onion rings, parking, chuckwagon, cashier, school, strip mall, gravy",https://www.google.com/maps/place/Wally%27s+Burgers/data=!4m7!3m6!1s0x548674287fb3c35f:0x1558ae47409b5011!8m2!3d49.2253569!4d-123.0535034!16s%2Fg%2F1v42fh9j!19sChIJX8Ozfyh0hlQREVCbQEeuWBU?authuser=0&hl=en&rclk=1
ChIJQSsj-UZwhlQRri8JH1fJgZw,Mr. Rooter Plumbing,,False,482,https://www.mrrooter.ca/vancouver%3Futm_source%3Dgmb%26utm_campaign%3Dlocal%26utm_medium%3Dorganic,Mr. Rooter Plumbing (Owner),https://www.google.com/maps/contrib/106667367123292185445,https://lh5.googleusercontent.com/p/AF1QipONGqVghS5E0y5h-by_RScZ4UJUJXg39dNBqX71=w426-h240-k-no,Plumber,Plumber,4.6,Open 24 hours,,(604) 433-5555,"Mr. Rooter Plumbing, 202-5128 Victoria Dr, Vancouver, BC V5P 3V2","job, technician, efficient, toilet, work, sewer, informative, basement, insurance, sump pump",https://www.google.com/maps/place/Mr.+Rooter+Plumbing/data=!4m7!3m6!1s0x54867046f9232b41:0x9c81c9571f092fae!8m2!3d49.2379081!4d-123.0650974!16s%2Fg%2F1x6q1g3h!19sChIJQSsj-UZwhlQRri8JH1fJgZw?authuser=0&hl=en&rclk=1
ChIJVbzizVF0hlQRbkwHWyenskk,Fraserview Banquet Hall,,False,472,http://www.fraserviewhall.com/,Fraserview Banquet Hall (Owner),https://www.google.com/maps/contrib/115475153363213047430,https://lh5.googleusercontent.com/p/AF1QipPiV0YViIh0mpGoqOZCKCFkLJs4PQAshjhHtJa0=w408-h306-k-no,Banquet hall,"Banquet hall, Conference center, Event venue",4.2,11 a.m.-6 p.m.,,(604) 322-6526,"Fraserview Banquet Hall, 8240 Fraser St, Vancouver, BC V5X 3X6","parking, space, reception, atmosphere, decor, dance, team, birthday, renovated, servers",https://www.google.com/maps/place/Fraserview+Banquet+Hall/data=!4m7!3m6!1s0x54867451cde2bc55:0x49b2a7275b074c6e!8m2!3d49.2100593!4d-123.0907544!16s%2Fg%2F1v3_2cjd!19sChIJVbzizVF0hlQRbkwHWyenskk?authuser=0&hl=en&rclk=1
ChIJP6YOhqN2hlQRIDrDKOjMBLM,2400 Motel,"Simple 1-4 bedroom motel units with free Wi-Fi & cable TV, plus a lawned garden with picnic area.",False,423,http://www.2400motel.com/,2400 Motel (Owner),https://www.google.com/maps/contrib/102339325312354030290,https://lh3.googleusercontent.com/gps-proxy/AFm_dcSAD3yY4zn7Y-nqVrTGVlTPbUD8LKUU3Oxvr8WBydxtMeoydgFZO7BK2CyCVVt37TzhvkIiKJqCvvpsTxTklETztp6j2s5HqF5dxBhiupNkUiTciRqEaag5Kirh8OvrVmlMsVjtFUNcJh5kCu_GVJ-An2sCLyMktCTxi5nbIMk_6tDR0M39vOkN2A=w408-h272-k-no,Motel,"Motel, Free parking lot, Hotel, Indoor lodging",2.9,,,(604) 434-2464,"2400 Motel, 2400 Kingsway, Vancouver, BC V5R 5G9","desk, windows, deposit, sheets, stains, kitchen, mold, paint, rats, tiles",https://www.google.com/maps/place/2400+Motel/data=!4m10!3m9!1s0x548676a3860ea63f:0xb304cce828c33a20!5m2!4m1!1i2!8m2!3d49.2404924!4d-123.0563449!16s%2Fg%2F1tk6_5mt!19sChIJP6YOhqN2hlQRIDrDKOjMBLM?authuser=0&hl=en&rclk=1
ChIJ3VnkeB90hlQRJURvKDZZ9Cs,London Drugs,,False,397,https://www.londondrugs.com/london-drugs-store-053-vancouver/41st-vicrtoria-053.html%3Futm_source%3DGMB%26utm_medium%3DYext,London Drugs (Owner),https://www.google.com/maps/contrib/110364028364228892269,https://lh5.googleusercontent.com/p/AF1QipM7kpYGUf65erp6FDa-JPRiE3r_lbyoh2Uat4fK=w426-h240-k-no,Pharmacy,"Pharmacy, Camera store, Computer store, Cosmetics store, Electronics store, Grocery store",3.5,9 a.m.-10 p.m.,,(604) 448-4853,"London Drugs, 5639 Victoria Dr, Vancouver, BC V5P 3W2","photo, parking, electronics, desk, cosmetic, macbook, laptop, passport, postal, aisle",https://www.google.com/maps/place/London+Drugs/data=!4m7!3m6!1s0x5486741f78e459dd:0x2bf45936286f4425!8m2!3d49.2332581!4d-123.0665659!16s%2Fg%2F1tf6x0xl!19sChIJ3VnkeB90hlQRJURvKDZZ9Cs?authuser=0&hl=en&rclk=1
ChIJYfBdm152hlQRvO53tDPDPjE,J-Von Family Medical Centre-Not Walk-In Clinic,,False,301,http://www.jvonmedicals.ca/,J-Von Family Medical Centre-Not Walk-In Clinic (Owner),https://www.google.com/maps/contrib/108041646864568003909,https://lh5.googleusercontent.com/p/AF1QipMW97RJ0TBwUVK9C5sgEt2_AixeilOrPDujmTRt=w408-h544-k-no,Medical clinic,Medical clinic,3.3,9 a.m.-4 p.m.,Sunday,(778) 379-8299,"J-Von Family Medical Centre-Not Walk-In Clinic, 4468 Beresford St., Burnaby, BC V5H 2Y8","receptionist, attitude, front desk, family doctor, call, system, rude, patience, manners, report",https://www.google.com/maps/place/J-Von+Family+Medical+Centre-Not+Walk-In+Clinic/data=!4m7!3m6!1s0x5486765e9b5df061:0x313ec333b477eebc!8m2!3d49.2252215!4d-123.0038555!16s%2Fg%2F11b7wn73vz!19sChIJYfBdm152hlQRvO53tDPDPjE?authuser=0&hl=en&rclk=1
ChIJpQIEmt52hlQR8S-q3kWRMgU,Vancouver SMP | Advanced Scalp Micropigmentation Artist - Rob James,,False,288,http://robjamessmp.com/,Vancouver SMP | Advanced Scalp Micropigmentation Artist - Rob James (Owner),https://www.google.com/maps/contrib/116404307351875918851,https://lh5.googleusercontent.com/p/AF1QipMrYUJZSVrmbY_Xv92jI7zVC3lc2XRWkvPWHnNX=w408-h360-k-no,Hair replacement service,"Hair replacement service, Permanent make-up clinic",5,10 a.m.-6 p.m.,Sunday,(778) 917-7772,"Vancouver SMP | Advanced Scalp Micropigmentation Artist - Rob James, 6989 Victoria Dr, Vancouver, BC V5P 3Y7","work, training, job, conversations, course, passionate, meeting, learn, instructor, individual",https://www.google.com/maps/place/Vancouver+SMP+%7C+Advanced+Scalp+Micropigmentation+Artist+-+Rob+James/data=!4m7!3m6!1s0x548676de9a0402a5:0x5329145deaa2ff1!8m2!3d49.2204269!4d-123.0663476!16s%2Fg%2F11hczyt_4d!19sChIJpQIEmt52hlQR8S-q3kWRMgU?authuser=0&hl=en&rclk=1
ChIJtz2Byzl3hlQRIvYboVMI_Oc,A Bald Cure Vancouver Scalp Micropigmentation Kevin Harper Mobile In Home Service.,,False,272,http://www.thebaldcure.ca/,A Bald Cure Vancouver Scalp Micropigmentation Kevin Harper Mobile In Home Service. (Owner),https://www.google.com/maps/contrib/104410264315555102510,https://lh5.googleusercontent.com/p/AF1QipPQZPFXUaRT66-IxRG_zC1Tr9b8dFspJ6on3J34=w408-h408-k-no,Hair transplantation clinic,"Hair transplantation clinic, Barber shop, Hair extension technician, Hair replacement service, Permanent make-up clinic, Tattoo artist",5,9 a.m.-9 p.m.,"Monday, Tuesday, Friday, Saturday, Sunday",(604) 800-6003,"A Bald Cure Vancouver Scalp Micropigmentation Kevin Harper Mobile In Home Service., 4500 Kingsway, Burnaby, BC V5H 2A7","prices, happy, results, skilled, job, artist, knows",https://www.google.com/maps/place/A+Bald+Cure+Vancouver+Scalp+Micropigmentation+Kevin+Harper+Mobile+In+Home+Service./data=!4m7!3m6!1s0x54867739cb813db7:0xe7fc0853a11bf622!8m2!3d49.2294464!4d-123.0044077!16s%2Fg%2F11f3jmlhv4!19sChIJtz2Byzl3hlQRIvYboVMI_Oc?authuser=0&hl=en&rclk=1
ChIJxReuzDz3iFQRwLcw0pjza4g,Big O Tires,,False,245,https://www.bigokingsway.ca/,Big O Tires (Owner),https://www.google.com/maps/contrib/108613878623888190763,https://lh5.googleusercontent.com/p/AF1QipNkeMtlemRtPiqvoKDkzyaSjMwIS66BarT6w4Fg=w408-h254-k-no,Tire shop,"Tire shop, Brake shop, Car repair and maintenance service, Mechanic, Oil change service, Wheel alignment service, Wheel store",3.8,8:30 a.m.-5:30 p.m.,Sunday,(604) 434-0535,"Big O Tires, 3059 Kingsway, Vancouver, BC V5R 5J8","flat tire, review, job, business, winter tires, wall, mechanic, rude, writing, truck",https://www.google.com/maps/place/Big+O+Tires/data=!4m7!3m6!1s0x5488f73cccae17c5:0x886bf398d230b7c0!8m2!3d49.2359773!4d-123.040184!16s%2Fg%2F1vp73gpx!19sChIJxReuzDz3iFQRwLcw0pjza4g?authuser=0&hl=en&rclk=1
ChIJWY6zL090hlQRJrdT60DI-7s,Ritz Limousines,,False,234,https://www.ritzlimos.com/,Ritz Limousines (Owner),https://www.google.com/maps/contrib/116489924634789544477,https://lh5.googleusercontent.com/p/AF1QipNFQt_q6kACCJLvbVHrZMO6_tkQ_QOE4eIgyhB3=w408-h306-k-no,Limousine service,Limousine service,4.6,9 a.m.-7 p.m.,,(604) 937-7480,"Ritz Limousines, 1039 E 63rd Ave, Vancouver, BC V5X 2L2","party bus, company, the future, birthday, call, plans, SUV, sound, reception, punctual",https://www.google.com/maps/place/Ritz+Limousines/data=!4m7!3m6!1s0x5486744f2fb38e59:0xbbfbc840eb53b726!8m2!3d49.2130721!4d-123.0847074!16s%2Fg%2F1tgtf5m5!19sChIJWY6zL090hlQRJrdT60DI-7s?authuser=0&hl=en&rclk=1
ChIJFY1ExgPZhVQRbcZ2q6UCK3g,Fix 4 You Cellular | Cell Phone Repair in Vancouver,,False,225,http://www.fixforyoucellular.com/,Fix 4 You Cellular | Cell Phone Repair in Vancouver (Owner),https://www.google.com/maps/contrib/103327229882491763893,https://lh5.googleusercontent.com/p/AF1QipNaThqVgAtbjzpdMRzbRONtCeoHcQ73vz6HbG2E=w408-h306-k-no,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store, Cell phone store, Computer repair service, Data recovery service, Electronics repair shop, Oldsmobile dealer, Phone repair service, Screen repair service",4,10 a.m.-8 p.m.,,(778) 713-2443,"Fix 4 You Cellular | Cell Phone Repair in Vancouver, 6338 Fraser St, Vancouver, BC V5W 3A4","price, screen, money, quality, fraud, business, battery, ipad, people, professional",https://www.google.com/maps/place/Fix+4+You+Cellular+%7C+Cell+Phone+Repair+in+Vancouver/data=!4m7!3m6!1s0x5485d903c6448d15:0x782b02a5ab76c66d!8m2!3d49.2271027!4d-123.0904324!16s%2Fg%2F11gxvsg58h!19sChIJFY1ExgPZhVQRbcZ2q6UCK3g?authuser=0&hl=en&rclk=1
