place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJYfBdm152hlQRvO53tDPDPjE,J-Von Family Medical Centre-Not Walk-In Clinic,,False,301,http://www.jvonmedicals.ca/,J-Von Family Medical Centre-Not Walk-In Clinic (Owner),https://www.google.com/maps/contrib/108041646864568003909,https://lh5.googleusercontent.com/p/AF1QipMW97RJ0TBwUVK9C5sgEt2_AixeilOrPDujmTRt=w408-h544-k-no,Medical clinic,Medical clinic,3.3,9 a.m.-4 p.m.,Sunday,(778) 379-8299,"J-Von Family Medical Centre-Not Walk-In Clinic, 4468 Beresford St., Burnaby, BC V5H 2Y8","receptionist, attitude, front desk, family doctor, call, system, rude, manners, patience, report",https://www.google.com/maps/place/J-Von+Family+Medical+Centre-Not+Walk-In+Clinic/data=!4m7!3m6!1s0x5486765e9b5df061:0x313ec333b477eebc!8m2!3d49.2252215!4d-123.0038555!16s%2Fg%2F11b7wn73vz!19sChIJYfBdm152hlQRvO53tDPDPjE?authuser=0&hl=en&rclk=1
ChIJ91IE0wZ1hlQRW6cnb4DtV38,Kamo Bakery,,False,295,http://www.kamobakery.ca/,Kamo Bakery (Owner),https://www.google.com/maps/contrib/104023885778893235023,https://lh5.googleusercontent.com/p/AF1QipMv6aQSBJ698FfFZLI4Buy_rO6OfbG492QBI2QK=w408-h306-k-no,Bakery,"Bakery, Dessert shop, Pastry shop",5,7 a.m.-7 p.m.,Wednesday,(604) 566-6001,"Kamo Bakery, Privet Parking Available in the back of store, 5552 Victoria Dr, Vancouver, BC V5P 3W1","baklava, sweet, owner, walnut, pistachio cookies, reviews, sesame, syrup, samoon bread, buttery",https://www.google.com/maps/place/Kamo+Bakery/data=!4m7!3m6!1s0x54867506d30452f7:0x7f57ed806f27a75b!8m2!3d49.2343332!4d-123.0653095!16s%2Fg%2F11rmx_w7zw!19sChIJ91IE0wZ1hlQRW6cnb4DtV38?authuser=0&hl=en&rclk=1
ChIJtz2Byzl3hlQRIvYboVMI_Oc,A Bald Cure Vancouver Scalp Micropigmentation Kevin Harper Mobile In Home Service.,,False,272,http://www.thebaldcure.ca/,A Bald Cure Vancouver Scalp Micropigmentation Kevin Harper Mobile In Home Service. (Owner),https://www.google.com/maps/contrib/104410264315555102510,https://lh5.googleusercontent.com/p/AF1QipPQZPFXUaRT66-IxRG_zC1Tr9b8dFspJ6on3J34=w408-h408-k-no,Hair transplantation clinic,"Hair transplantation clinic, Barber shop, Hair extension technician, Hair replacement service, Permanent make-up clinic, Tattoo artist",5,9 a.m.-9 p.m.,"Monday, Tuesday, Friday, Saturday, Sunday",(604) 800-6003,"A Bald Cure Vancouver Scalp Micropigmentation Kevin Harper Mobile In Home Service., 4500 Kingsway, Burnaby, BC V5H 2A7","prices, happy, results, skilled, job, artist, knows",https://www.google.com/maps/place/A+Bald+Cure+Vancouver+Scalp+Micropigmentation+Kevin+Harper+Mobile+In+Home+Service./data=!4m7!3m6!1s0x54867739cb813db7:0xe7fc0853a11bf622!8m2!3d49.2294464!4d-123.0044077!16s%2Fg%2F11f3jmlhv4!19sChIJtz2Byzl3hlQRIvYboVMI_Oc?authuser=0&hl=en&rclk=1
ChIJFY1ExgPZhVQRbcZ2q6UCK3g,Fix 4 You Cellular | Cell Phone Repair in Vancouver,,False,226,https://www.fixforyoucellular.com/,Fix 4 You Cellular | Cell Phone Repair in Vancouver (Owner),https://www.google.com/maps/contrib/103327229882491763893,https://lh5.googleusercontent.com/p/AF1QipNaThqVgAtbjzpdMRzbRONtCeoHcQ73vz6HbG2E=w408-h306-k-no,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store, Cell phone store, Computer repair service, Data recovery service, Electronics repair shop, Oldsmobile dealer, Phone repair service, Screen repair service",4,10 a.m.-8 p.m.,,(778) 713-2443,"Fix 4 You Cellular | Cell Phone Repair in Vancouver, 6338 Fraser St, Vancouver, BC V5W 3A4","price, screen, money, quality, fraud, business, battery, ipad, people, professional",https://www.google.com/maps/place/Fix+4+You+Cellular+%7C+Cell+Phone+Repair+in+Vancouver/data=!4m7!3m6!1s0x5485d903c6448d15:0x782b02a5ab76c66d!8m2!3d49.2271027!4d-123.0904324!16s%2Fg%2F11gxvsg58h!19sChIJFY1ExgPZhVQRbcZ2q6UCK3g?authuser=0&hl=en&rclk=1
ChIJJVfIEzp3hlQRqKp-ceeOajU,"Minus Cake Boutique (Pre Order Only, No Walk-In)",,False,215,http://www.minuscake.com/,"Minus Cake Boutique (Pre Order Only, No Walk-In) (Owner)",https://www.google.com/maps/contrib/114916304444477481978,https://lh5.googleusercontent.com/p/AF1QipO07c5s2acRc5_YEiEtrBKhlSVjB4zUkgNK4tKa=w408-h306-k-no,Cake shop,Cake shop,4.2,12-4 p.m.,,(604) 779-3615,"Minus Cake Boutique (Pre Order Only, No Walk-In), 3615 Kingsway, Vancouver, BC V5R 5M1","drink, bubble tea, aesthetics, earl grey, latte, matcha, presentation, mango, coconut, passion fruit","https://www.google.com/maps/place/Minus+Cake+Boutique+%28Pre+Order+Only,+No+Walk-In%29/data=!4m7!3m6!1s0x5486773a13c85725:0x356a8ee7717eaaa8!8m2!3d49.2324158!4d-123.0256006!16s%2Fg%2F11gjtyszts!19sChIJJVfIEzp3hlQRqKp-ceeOajU?authuser=0&hl=en&rclk=1"
ChIJu8hAPbR1hlQRm8zOidoHAxA,MJ Physio & Massage (Fraser Street Physio) - Physio In Vancouver,,False,180,https://mjphysio.ca/,MJ Physio & Massage (Fraser Street Physio) - Physio In Vancouver (Owner),https://www.google.com/maps/contrib/104048679345063566250,https://lh5.googleusercontent.com/p/AF1QipMKFinTmAHad5wfrVKFGK2UoswsSVTusHvdafwc=w468-h240-k-no,Physiotherapist,Physiotherapist,4.9,9 a.m.-7 p.m.,Sunday,(604) 563-5684,"MJ Physio & Massage (Fraser Street Physio) - Physio In Vancouver, 5684 Fraser St, Vancouver, BC V5W 2Z4","injury, exercises, krishna, ram, back pain, feel, clinic, heal, receptionist, walk",https://www.google.com/maps/place/MJ+Physio+%26+Massage+%28Fraser+Street+Physio%29+-+Physio+In+Vancouver/data=!4m7!3m6!1s0x548675b43d40c8bb:0x100307da89cecc9b!8m2!3d49.2332311!4d-123.0900556!16s%2Fg%2F11fcrgx42d!19sChIJu8hAPbR1hlQRm8zOidoHAxA?authuser=0&hl=en&rclk=1
ChIJTTtMWA11hlQRO71yPH-xRF4,Garden Center in The Home Depot,,False,157,http://homedepot.ca/,Garden Center in The Home Depot (Owner),,https://lh5.googleusercontent.com/p/AF1QipNuBl8vJdDbcDkUhcpxSW5YR-FaWw3lg130PrpS=w408-h544-k-no,Garden center,Garden center,4.2,6 a.m.-9 p.m.,,+1 800-628-0525,"Garden Center in The Home Depot, 2700 Sweden Way, Richmond, BC V6V 1K1","prices, variety",https://www.google.com/maps/place/Garden+Center+in+The+Home+Depot/data=!4m7!3m6!1s0x5486750d584c3b4d:0x5e44b17f3c72bd3b!8m2!3d49.1941151!4d-123.0820247!16s%2Fg%2F11gl12w8bw!19sChIJTTtMWA11hlQRO71yPH-xRF4?authuser=0&hl=en&rclk=1
ChIJ___vY1p2hlQRbsFUM6JZwhE,Brandon Gee-Moore Top 1% Realtor in 2019-2022 (MLS Sales Greater Vancouver Real Estate Board),,False,156,http://brandongeemoore.ca/,Brandon Gee-Moore Top 1% Realtor in 2019-2022 (MLS Sales Greater Vancouver Real Estate Board) (Owner),https://www.google.com/maps/contrib/105758581996686963176,https://lh5.googleusercontent.com/p/AF1QipN_pzYhd5FsWcgurr3s7cFYngSX8ZZbe4_MiXK6=w408-h306-k-no,Real Estate Agency,Real Estate Agency,4.7,Open 24 hours,,(604) 889-9711,"Brandon Gee-Moore Top 1% Realtor in 2019-2022 (MLS Sales Greater Vancouver Real Estate Board), 5050 Kingsway # 1, Burnaby, BC V5H 4C2","questions, condo, market, pleasure, advice, expertise, work, opinions, first-time buyers, responsive",https://www.google.com/maps/place/Brandon+Gee-Moore+Top+1%25+Realtor+in+2019-2022+%28MLS+Sales+Greater+Vancouver+Real+Estate+Board%29/data=!4m7!3m6!1s0x5486765a63efffff:0x11c259a23354c16e!8m2!3d49.2255488!4d-122.9918789!16s%2Fg%2F11hbw3jsnm!19sChIJ___vY1p2hlQRbsFUM6JZwhE?authuser=0&hl=en&rclk=1
ChIJeTZzWQd0hlQR-U7uYrWigkc,Dang Good Ice | Same Day Ice Delivery in Vancouver,,False,154,http://www.danggoodice.com/,Dang Good Ice | Same Day Ice Delivery in Vancouver (Owner),https://www.google.com/maps/contrib/104349398954630372537,https://lh5.googleusercontent.com/p/AF1QipPedIkWpN97f6D708t9jJuYVSg7-_ksqZBmvAKJ=w408-h408-k-no,Ice supplier,Ice supplier,5,9 a.m.-6 p.m.,Monday,(778) 929-3264,"Dang Good Ice | Same Day Ice Delivery in Vancouver, 3757 Jacombs Rd Unit 155, Richmond, BC V6V 2R3","team, price, party, amount, the future, company, needs, cooler, rent, beer",https://www.google.com/maps/place/Dang+Good+Ice+%7C+Same+Day+Ice+Delivery+in+Vancouver/data=!4m7!3m6!1s0x5486740759733679:0x4782a2b562ee4ef9!8m2!3d49.1877713!4d-123.0805896!16s%2Fg%2F11bzxk9rd_!19sChIJeTZzWQd0hlQR-U7uYrWigkc?authuser=0&hl=en&rclk=1
ChIJbWhMqjhxhlQRkXrg-VZAbeE,Commercial Drive Medical Clinic,,False,121,https://commercialdrivemedicalclinic.com/,Commercial Drive Medical Clinic (Owner),https://www.google.com/maps/contrib/103491171930704699427,https://lh5.googleusercontent.com/p/AF1QipOUsBojxkOBw63nW_cn0PKAhxKHSTGdA9pdAT3w=w408-h271-k-no,Walk-in clinic,"Walk-in clinic, General practitioner, Health consultant, Medical Center, Medical office, Pediatrician",3.7,10 a.m.-3 p.m.,"Monday, Thursday, Friday, Saturday, Sunday",(604) 255-5922,"Commercial Drive Medical Clinic, 1515 Commercial Dr, Vancouver, BC V5L 3Y1","receptionist, call, understanding, results, door, botox, office, license, email, morning",https://www.google.com/maps/place/Commercial+Drive+Medical+Clinic/data=!4m7!3m6!1s0x54867138aa4c686d:0xe16d4056f9e07a91!8m2!3d49.2711496!4d-123.0699244!16s%2Fg%2F1tgcl_5d!19sChIJbWhMqjhxhlQRkXrg-VZAbeE?authuser=0&hl=en&rclk=1
