place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJKTgmK82_woARCi-Kh_vNKo0,Bob's Big Boy,"Chain of family-friendly diners serving breakfast, burgers & other American comfort food.",False,6480,http://www.bobs.net/,Bob's Big Boy (Owner),https://www.google.com/maps/contrib/102965270319479894862,https://lh5.googleusercontent.com/p/AF1QipPhOyIsWTbmd1vdZNOHJkz5hREV5cW9Yc3wqmHE=w426-h240-k-no,Hamburger restaurant,"Hamburger restaurant, American restaurant, Breakfast restaurant, Coffee shop, Diner, Fast food restaurant, Historical landmark",4.5,6 a.m.-12 a.m.,,+1 818-843-9334,"Bob's Big Boy, 4211 W Riverside Dr, Burbank, CA 91505, United States","nostalgic, car show, classic car, spaghetti, car hop, fudge cake, beatles, cruise, 1949, childhood memories",https://www.google.com/maps/place/Bob%27s+Big+Boy/data=!4m7!3m6!1s0x80c2bfcd2b263829:0x8d2acdfb878a2f0a!8m2!3d34.1524797!4d-118.3461035!16s%2Fg%2F1hhw5sgp5!19sChIJKTgmK82_woARCi-Kh_vNKo0?authuser=0&hl=en&rclk=1
ChIJUdrWy5bzwokRlQZDZojzdaA,Bob's Discount Furniture and Mattress Store,"Chain retailer with a large selection of discount furniture, home accents & mattresses.",False,3717,https://www.mybobs.com/stores/new-york/bronx-riverdale-kingsbridge%3Futm_medium%3Dlocal%26utm_source%3Dgoogle%26utm_campaign%3DGoogleBusiness%26utm_term%3Dnew-york%26utm_content%3Dbronx-riverdale-kingsbridge_NY,Bob's Discount Furniture and Mattress Store (Owner),https://www.google.com/maps/contrib/116359174544120102909,https://lh5.googleusercontent.com/p/AF1QipPW_DYZErVEplJxw0XopCK1cgVnIQC7cNRbIvvI=w408-h544-k-no,Furniture store,"Furniture store, Bedroom furniture store, Children's furniture store, Home goods store, Mattress store",4.8,10 a.m.-9 p.m.,,+1 347-708-9009,"Bob's Discount Furniture and Mattress Store, 171 W 230th St, Bronx, NY 10463, United States","riverdale, bedroom set, apartment, angel, living room set, merchandise, financing, asset, customer service representative, back to bob's",https://www.google.com/maps/place/Bob%E2%80%99s+Discount+Furniture+and+Mattress+Store/data=!4m7!3m6!1s0x89c2f396cbd6da51:0xa075f38866430695!8m2!3d40.8774651!4d-73.9049886!16s%2Fg%2F11c1v0k0pt!19sChIJUdrWy5bzwokRlQZDZojzdaA?authuser=0&hl=en&rclk=1
ChIJRXIcqFDm4okR7uJsZPdLbTI,Bob's Discount Furniture and Mattress Store,"Chain retailer with a large selection of discount furniture, home accents & mattresses.",False,2542,https://www.mybobs.com/stores/new-hampshire/seabrook%3Futm_medium%3Dlocal%26utm_source%3Dgoogle%26utm_campaign%3DGoogleBusiness%26utm_term%3Dnew-hampshire%26utm_content%3Dseabrook_NH,Bob's Discount Furniture and Mattress Store (Owner),https://www.google.com/maps/contrib/100255828801145675225,https://lh5.googleusercontent.com/p/AF1QipP8J7owBsPUdV8jGR6c4LfteFCKPvzpb9kBC9-6=w408-h272-k-no,Furniture store,"Furniture store, Bedroom furniture store, Children's furniture store, Home goods store, Mattress store",4.7,10 a.m.-8 p.m.,,+1 603-474-2771,"Bob's Discount Furniture and Mattress Store, 570 Lafayette Rd, Seabrook, NH 03874, United States","pressure, ginger, recliner, living room set, decision, bedroom set, transaction, store manager, back to bob's, bunk bed",https://www.google.com/maps/place/Bob%E2%80%99s+Discount+Furniture+and+Mattress+Store/data=!4m7!3m6!1s0x89e2e650a81c7245:0x326d4bf7646ce2ee!8m2!3d42.8925838!4d-70.8709358!16s%2Fg%2F1tqnmm_r!19sChIJRXIcqFDm4okR7uJsZPdLbTI?authuser=0&hl=en&rclk=1
ChIJk9XtZFf124AReToGME-XHAI,Bob's Discount Furniture and Mattress Store,"Chain retailer with a large selection of discount furniture, home accents & mattresses.",False,799,https://www.mybobs.com/stores/california/escondido%3Futm_medium%3Dlocal%26utm_source%3Dgoogle%26utm_campaign%3DGoogleBusiness%26utm_term%3Dcalifornia%26utm_content%3Descondido_CA,Bob's Discount Furniture and Mattress Store (Owner),https://www.google.com/maps/contrib/115555699091149790356,https://lh5.googleusercontent.com/p/AF1QipNL-bq8vpz4ctJnFO1w2T7hbZYhv73My5DXfJL7=w508-h240-k-no,Furniture store,"Furniture store, Bedroom furniture store, Mattress store",4.5,10 a.m.-8 p.m.,,+1 442-277-2087,"Bob's Discount Furniture and Mattress Store, 1240 Auto Park Way, Escondido, CA 92029, United States","sales, questions, patient, informative, pressure, living room, showroom, financing, ice cream, bedroom set",https://www.google.com/maps/place/Bob%27s+Discount+Furniture+and+Mattress+Store/data=!4m7!3m6!1s0x80dbf55764edd593:0x21c974f30063a79!8m2!3d33.1110186!4d-117.0976824!16s%2Fg%2F11h1k9cfp2!19sChIJk9XtZFf124AReToGME-XHAI?authuser=0&hl=en&rclk=1
ChIJKblFpNxz1oYRnk7_SlJMcos,Bob's Discount Furniture and Mattress Store,"Chain retailer with a large selection of discount furniture, home accents & mattresses.",False,479,https://www.mybobs.com/stores/arizona/tucson%3Futm_medium%3Dlocal%26utm_source%3Dgoogle%26utm_campaign%3DGoogleBusiness%26utm_term%3Darizona%26utm_content%3Dtucson_AZ,Bob's Discount Furniture and Mattress Store (Owner),https://www.google.com/maps/contrib/100379713408610831108,https://lh5.googleusercontent.com/p/AF1QipOYoJrac7MAxNUNGkoClNqvuclV_zZMDbxiyne9=w408-h240-k-no-pi-10-ya84.67999-ro-0-fo100,Furniture store,"Furniture store, Bedroom furniture store, Children's furniture store, Home goods store, Mattress store",4.5,10 a.m.-9 p.m.,,+1 520-479-2650,"Bob's Discount Furniture and Mattress Store, 4235 N Oracle Rd, Tucson, AZ 85705, United States","sales, delivery, pressure, selection, financing, store manager, recliner, ice cream, living room, dining room table",https://www.google.com/maps/place/Bob%27s+Discount+Furniture+and+Mattress+Store/data=!4m7!3m6!1s0x86d673dca445b929:0x8b724c524aff4e9e!8m2!3d32.2843747!4d-110.9795797!16s%2Fg%2F11rwlkw95f!19sChIJKblFpNxz1oYRnk7_SlJMcos?authuser=0&hl=en&rclk=1
ChIJg2vWxpzBNIgRBr5wU1gyI9s,Bob's Inn,,False,242,http://bobs-inn.poi.place/,Bob's Inn (Owner),,https://lh5.googleusercontent.com/p/AF1QipMhBBD_2rFTzBhpst5axiTg06Huqwuy7GJ5fa0s=w426-h240-k-no,Bar & grill,Bar & grill,4.4,10 a.m.-2 a.m.,,+1 724-327-1977,"Bob's Inn, 3832 Old William Penn Hwy, Murrysville, PA 15668, United States","prices, bartender, fish sandwich, smoking, jukebox, table, pool, breakfast, dinner",https://www.google.com/maps/place/Bob%27s+Inn/data=!4m7!3m6!1s0x8834c19cc6d66b83:0xdb2332585370be06!8m2!3d40.4286173!4d-79.6991858!16s%2Fg%2F1tdxr3c3!19sChIJg2vWxpzBNIgRBr5wU1gyI9s?authuser=0&hl=en&rclk=1
ChIJy4ygogfKjIcRSUEvlI41me8,Bob's In Arnolds Park,,False,178,https://m.facebook.com/pages/Bobs-In-Aronld-Park/155370214499587,Bob's In Arnolds Park (Owner),,https://lh5.googleusercontent.com/p/AF1QipMZi6IojeJcX8kNzLAPpd8TXIMWJ7H29gWk-fVD=w408-h258-k-no,Hot dog restaurant,"Hot dog restaurant, Fast food restaurant",4.2,,,+1 712-332-6564,"Bob's In Arnolds Park, 188-226 Park Pl, Arnolds Park, IA 51331, United States","taverns, prices, lake, root beer, bathroom",https://www.google.com/maps/place/Bob%27s+In+Arnolds+Park/data=!4m7!3m6!1s0x878cca07a2a08ccb:0xef99358e942f4149!8m2!3d43.3675053!4d-95.1348069!16s%2Fg%2F11c0rq317z!19sChIJy4ygogfKjIcRSUEvlI41me8?authuser=0&hl=en&rclk=1
ChIJYYk-iv4AQIgRrE1Rx2rS17Q,Low Bob's Discount Tobacco,,False,87,http://www.lowbob.com/,Low Bob's Discount Tobacco (Owner),https://www.google.com/maps/contrib/103069179897558836716,https://lh5.googleusercontent.com/p/AF1QipNbyg3qJZYpVFMRf4e2tD8stheL64bSEFY4ct9n=w408-h306-k-no,Tobacco shop,"Tobacco shop, Cigar shop",4.5,8 a.m.-8 p.m.,,+1 765-966-0641,"Low Bob's Discount Tobacco, 520 N A St, Richmond, IN 47374, United States","prices, smile, smoking",https://www.google.com/maps/place/Low+Bob%27s+Discount+Tobacco/data=!4m7!3m6!1s0x884000fe8a3e8961:0xb4d7d26ac7514dac!8m2!3d39.8307771!4d-84.8942683!16s%2Fg%2F1th5_gzj!19sChIJYYk-iv4AQIgRrE1Rx2rS17Q?authuser=0&hl=en&rclk=1
ChIJLfJUfOYXTIYRE5l0csdlMfQ,Bob's Steak & Chop House Craig Ranch/McKinney,"Texas-born chain serving big slabs of beef, seafood & a large wine list in a classy atmosphere.",False,81,https://www.bobs-steakandchop.com/bobs-steak-and-chop-house-location/mckinney,Bob's Steak & Chop House Craig Ranch/McKinney (Owner),,https://lh5.googleusercontent.com/p/AF1QipO0m_oiPmMSCFh1GEt54mT9mDz_00fa7VQ1EC-s=w426-h240-k-no,American restaurant,American restaurant,4.5,5-10 p.m.,Sunday,+1 972-838-1955,"Bob's Steak & Chop House Craig Ranch/McKinney, 7220 State Hwy 121 S, McKinney, TX 75070, United States","steakhouse, bartenders, dining, cigar lounge, birthday, food and service, valet, hat, evening, potatoes",https://www.google.com/maps/place/Bob%27s+Steak+%26+Chop+House+Craig+Ranch%2FMcKinney/data=!4m7!3m6!1s0x864c17e67c54f22d:0xf43165c772749913!8m2!3d33.13668!4d-96.705366!16s%2Fg%2F11stvggxyb!19sChIJLfJUfOYXTIYRE5l0csdlMfQ?authuser=0&hl=en&rclk=1
ChIJIXSGo-hdjogRQ-7DS3RjJmk,Bob's In,,False,,,Bob's In (Owner),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9JW5XPgE13mhefnZYanPgw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=132.02747&pitch=0&thumbfov=100,Citizen information bureau,Citizen information bureau,,Open 24 hours,,+1 229-252-2119,"Bob's In, 615 AL-21, Hayneville, AL 36040, United States",,https://www.google.com/maps/place/Bob%27s+In/data=!4m7!3m6!1s0x888e5de8a3867421:0x692663744bc3ee43!8m2!3d32.1791424!4d-86.5900248!16s%2Fg%2F11nnr4ykkk!19sChIJIXSGo-hdjogRQ-7DS3RjJmk?authuser=0&hl=en&rclk=1
