place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJMZfgI8NzhlQRxMA6BNWpX5U,New India Buffet + Bar & Restaurant,"Spacious venue with a patio, offering all-you-can-eat buffets of over 70 items plus takeaway.",True,2762,http://www.newindiabuffet.com/,New India Buffet + Bar & Restaurant (Owner),https://www.google.com/maps/contrib/100837755862880130203,https://lh5.googleusercontent.com/p/AF1QipPzJLU1RWphU0cupuaetD0XHzI-jfyi2Gmtda_S=w426-h240-k-no,Indian restaurant,"Indian restaurant, Bar, Bar & grill, Buffet restaurant, Caterer, Indian takeaway, Lunch restaurant, Delivery Restaurant, Takeout Restaurant, North Indian restaurant",3.6,12 p.m.-12 a.m.,,(604) 874-5800,"New India Buffet + Bar & Restaurant, 901 W Broadway, Vancouver, BC V5Z 4M3","stale, tip, all you can eat, lunch box, fruits, spread, salad bar, cold food, boyfriend, tvs",https://www.google.com/maps/place/New+India+Buffet+%2B+Bar+%26+Restaurant/data=!4m7!3m6!1s0x548673c323e09731:0x955fa9d5043ac0c4!8m2!3d49.2635905!4d-123.1245292!16s%2Fg%2F1tfqqn36!19sChIJMZfgI8NzhlQRxMA6BNWpX5U?authuser=0&hl=en&rclk=1
ChIJlyu4u4NxhlQRkUpN_iFwl8Q,Miku Vancouver,Sushi & sustainable seafood are served in a sophisticated setting with a patio & water views.,False,6512,http://www.mikurestaurant.com/,Miku Vancouver (Owner),https://www.google.com/maps/contrib/109894341806963732964,https://lh5.googleusercontent.com/p/AF1QipNqzVilgFK091Aiffs_Yrrp1qwGAfmbnFA14TOK=w408-h272-k-no,Sushi restaurant,Sushi restaurant,4.5,11:30 a.m.-10 p.m.,,(604) 568-3900,"Miku Vancouver, 200 Granville St #70, Vancouver, BC V6C 1S4","kaiseki, sablefish, signature, fritters, tasting menu, tart, brussel sprouts, harbour, sampler, sockeye salmon",https://www.google.com/maps/place/Miku+Vancouver/data=!4m7!3m6!1s0x54867183bbb82b97:0xc4977021fe4d4a91!8m2!3d49.2870179!4d-123.1130107!16s%2Fg%2F1tdkrhcb!19sChIJlyu4u4NxhlQRkUpN_iFwl8Q?authuser=0&hl=en&rclk=1
ChIJEa8g6HtxhlQRa_lcrLrlVQw,Cafe Medina,"Snug spot for coffee, & an eclectic daytime menu including waffles with unique toppings.",False,4349,http://www.medinacafe.com/,Cafe Medina (Owner),https://www.google.com/maps/contrib/108874087639997853084,https://lh5.googleusercontent.com/p/AF1QipP96tO-EYk6rlIOQcUplMgJteRfWEh_AhP7v1rd=w408-h272-k-no,Brunch restaurant,"Brunch restaurant, Breakfast restaurant, Event venue",4.5,8 a.m.-3 p.m.,,(604) 879-3114,"Cafe Medina, 780 Richards St, Vancouver, BC V6B 3A4","paella, white chocolate, lavender, cassoulet, tagine, rosewater, frittata, harissa, wolves, liege waffle",https://www.google.com/maps/place/Cafe+Medina/data=!4m7!3m6!1s0x5486717be820af11:0xc55e5baac5cf96b!8m2!3d49.2804904!4d-123.116933!16s%2Fg%2F1tgfptqj!19sChIJEa8g6HtxhlQRa_lcrLrlVQw?authuser=0&hl=en&rclk=1
ChIJs8IJ5W9xhlQR37XQMO_WQ04,Phnom Penh Restaurant,Vietnamese-Cambodian institution draws fans with specialties including chicken wings & butter beef.,False,4314,http://phnompenhrestaurant.ca/,Phnom Penh Restaurant (Owner),https://www.google.com/maps/contrib/101970028335178840078,https://lh5.googleusercontent.com/p/AF1QipO32fnhOC6haKRYA8id-sByM3g1twGyuBcnQh24=w408-h306-k-no,Cambodian restaurant,"Cambodian restaurant, Vietnamese restaurant",4.5,11 a.m.-8 p.m.,Tuesday,(604) 682-5777,"Phnom Penh Restaurant, 244 E Georgia St, Vancouver, BC V6A 1Z7","bo luc lac, butter beef, vietnamese, marinated, oyster pancake, deep fried chicken wings, durian, raw beef, beef carpaccio",https://www.google.com/maps/place/Phnom+Penh+Restaurant/data=!4m7!3m6!1s0x5486716fe509c2b3:0x4e43d6ef30d0b5df!8m2!3d49.2784519!4d-123.0982248!16s%2Fg%2F1td5lcxj!19sChIJs8IJ5W9xhlQR37XQMO_WQ04?authuser=0&hl=en&rclk=1
ChIJq2tI6HtxhlQRBaKUv59cS9E,Chambar Restaurant,"Chic exposed-brick space serving creative Belgian cuisine & sustainable seafood, plus beer & wine.",False,3684,http://www.chambar.com/,Chambar Restaurant (Owner),https://www.google.com/maps/contrib/107770196061871220304,https://lh5.googleusercontent.com/p/AF1QipMDOZbUHKmukgL1cJ92Ioggd0aadRGkgyeww55r=w408-h271-k-no,Belgian restaurant,"Belgian restaurant, Bar, Restaurant",4.5,5-10 p.m.,,(604) 879-7119,"Chambar Restaurant, 568 Beatty St, Vancouver, BC V6B 2L3","belgian beer, moules frites, fricassee, lamb shank, dine out vancouver festival, belgian waffles, salted caramel, duck gnocchi, white chocolate pistachio, raspberry caramel",https://www.google.com/maps/place/Chambar+Restaurant/data=!4m7!3m6!1s0x5486717be8486bab:0xd14b5c9fbf94a205!8m2!3d49.2801271!4d-123.1099351!16s%2Fm%2F04xw3_q!19sChIJq2tI6HtxhlQRBaKUv59cS9E?authuser=0&hl=en&rclk=1
ChIJw-s4pFdxhlQRh2jK22eXlnU,Downlow Chicken Shack,"Simple counter-serve hub for fried chicken at escalating spice levels, creative sandwiches & sides.",False,3277,https://www.dlchickenshack.ca/,Downlow Chicken Shack (Owner),https://www.google.com/maps/contrib/103154197875850218841,https://lh5.googleusercontent.com/p/AF1QipMSrXQ3lwcOQyL0Jb0NbCKrZaHcDcg4bbPtmeeZ=w408-h306-k-no,Chicken restaurant,"Chicken restaurant, Fast food restaurant",4.6,11 a.m.-9 p.m.,,(604) 283-1385,"Downlow Chicken Shack, 905 Commercial Dr, Vancouver, BC V5L 2H2","music, hot chicken, pickles, mac salad, chicken and waffles, boneless, jerk, fried chicken sandwich, lemon pepper, van",https://www.google.com/maps/place/Downlow+Chicken+Shack/data=!4m7!3m6!1s0x54867157a438ebc3:0x75969767dbca6887!8m2!3d49.276327!4d-123.0697319!16s%2Fg%2F11f657glq0!19sChIJw-s4pFdxhlQRh2jK22eXlnU?authuser=0&hl=en&rclk=1
ChIJheYkn7NzhlQR8weTw-mG_IU,Raisu,Fashionable eatery with contemporary styling turning out refined Japanese dishes & sushi rolls.,False,2697,https://raisu.ca/,Raisu (Owner),https://www.google.com/maps/contrib/113927712375366098320,https://lh5.googleusercontent.com/p/AF1QipNGMLNh5U1rhE-x67XdgLXlRb8yQPyCgGY1ulfB=w426-h240-k-no,Japanese restaurant,Japanese restaurant,4.5,11:30 a.m.-10 p.m.,,(604) 620-1564,"Raisu, 2340 W 4th Ave, Vancouver, BC V6K 1P1","omakase, patio, kingyo, polaroid, blue fin tuna, wagyu beef, pre-order, seafood bowl, chirashi bowl, uni udon",https://www.google.com/maps/place/Raisu/data=!4m7!3m6!1s0x548673b39f24e685:0x85fc86e9c39307f3!8m2!3d49.2680595!4d-123.1583241!16s%2Fg%2F11c0pqqxf3!19sChIJheYkn7NzhlQR8weTw-mG_IU?authuser=0&hl=en&rclk=1
ChIJ71LS51dxhlQRfq2bLYvY8gY,Osteria Savio Volpe,Housemade charcuterie & wood-fired Italian fare served in an industrial-chic restaurant/bar.,False,2649,http://www.saviovolpe.com/,Osteria Savio Volpe (Owner),https://www.google.com/maps/contrib/109773829823274008510,https://lh5.googleusercontent.com/p/AF1QipPH9XMz83NenjbEE-ckuoZ85aIcp6cpfe0Tlatj=w408-h295-k-no,Italian restaurant,Italian restaurant,4.6,5-10:30 p.m.,,(604) 428-0072,"Osteria Savio Volpe, 615 Kingsway, Vancouver, BC V5T 3K5","tasting menu, kale salad, 5 course meal, striploin, broccolini, agnolotti, chocolate tart, halibut, beet salad, chicken liver mousse",https://www.google.com/maps/place/Osteria+Savio+Volpe/data=!4m7!3m6!1s0x54867157e7d252ef:0x6f2d88b2d9bad7e!8m2!3d49.2574425!4d-123.0909434!16s%2Fg%2F11bwp1p14w!19sChIJ71LS51dxhlQRfq2bLYvY8gY?authuser=0&hl=en&rclk=1
ChIJD9jfUoJxhlQR2Z9sjekAEFg,Nightingale,Chef David Hawksworth's informal restaurant/bar serving modern Canadian fare & classic cocktails.,False,2646,http://hawknightingale.com/,Nightingale (Owner),https://www.google.com/maps/contrib/111258229305719246606,https://lh5.googleusercontent.com/p/AF1QipMqOfmLj0NvXUamf9ZHa-wk8D-58OaEYc_P-FjK=w408-h271-k-no,Canadian restaurant,Canadian restaurant,4.5,11:30 a.m.-11 p.m.,,(604) 695-9500,"Nightingale, 1017 W Hastings St, Vancouver, BC V6E 0C4","brussel sprouts, buttermilk, hawksworth restaurant, pot de creme, spaghetti with clams, broccolini, beet salad, bramble, chorizo pizza, halibut ceviche",https://www.google.com/maps/place/Nightingale/data=!4m7!3m6!1s0x5486718252dfd80f:0x581000e98d6c9fd9!8m2!3d49.2873977!4d-123.1174751!16s%2Fg%2F11cn6cj97z!19sChIJD9jfUoJxhlQR2Z9sjekAEFg?authuser=0&hl=en&rclk=1
ChIJl97JCH5xhlQRCMTZHG7N-Sg,per se Social Corner,"Innovative Italian cuisine & Spanish tapas, plus gelato & craft cocktails in a contemporary setting.",False,2579,http://www.persesocialcorner.com/,per se Social Corner (Owner),https://www.google.com/maps/contrib/106200775850915517072,https://lh5.googleusercontent.com/p/AF1QipNSuti0M8PBhLvMq3FlPvSEsODB4K0KZFwAfRo=w426-h240-k-no,Italian restaurant,"Italian restaurant, American restaurant, Brunch restaurant, Coffee shop, Delivery Service, Hamburger restaurant, Spanish restaurant",4.3,11 a.m.-11 p.m.,,(604) 428-6111,"per se Social Corner, 891 Homer St, Vancouver, BC V6B 2W2","patio, tapas, ceilings, seafood paella, goat cheese salad, hummus, eggs benedict, crime, brunch burger, free fall",https://www.google.com/maps/place/per+se+Social+Corner/data=!4m7!3m6!1s0x5486717e08c9de97:0x28f9cd6e1cd9c408!8m2!3d49.2787253!4d-123.118532!16s%2Fg%2F11cjkp_vw3!19sChIJl97JCH5xhlQRCMTZHG7N-Sg?authuser=0&hl=en&rclk=1
