place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJxabTsH9xhlQR7ld9BtRZiPw,Burger King,"Well-known fast-food chain serving grilled burgers, fries & shakes.",True,914,https://www.burgerking.ca/store-locator/store/restaurant_10377,Burger King (Owner),https://www.google.com/maps/contrib/115136442237811519797,https://lh5.googleusercontent.com/p/AF1QipMG0XjSkskQVHHBYXSEiLb_przAnmsPvibzEQTT=w408-h725-k-no,Restaurant,"Restaurant, Fast food restaurant",3.5,Open 24 hours,,(604) 681-8895,"Burger King, 821 Granville St, Vancouver, BC V6Z 1K9","whopper, fries, clean, cashier, homeless people, chicken nuggets, wednesday, bun, coupon, name",https://www.google.com/maps/place/Burger+King/data=!4m7!3m6!1s0x5486717fb0d3a6c5:0xfc8859d4067d57ee!8m2!3d49.2812302!4d-123.120573!16s%2Fg%2F1q62l74zk!19sChIJxabTsH9xhlQR7ld9BtRZiPw?authuser=0&hl=en&rclk=1
ChIJvWqz0E5xhlQRmQ0QSFzd-OI,A&W Canada,"Fast-food outlet serving up namesake root beer, plus burgers, chicken & fries.",True,795,https://web.aw.ca/,A&W Canada (Owner),https://www.google.com/maps/contrib/106310233320595509913,https://lh5.googleusercontent.com/p/AF1QipNXbMuUnVSPishARV487rZUSyMvKcdYdfX2j5vE=w408-h306-k-no,Hamburger restaurant,"Hamburger restaurant, American restaurant, Breakfast restaurant, Chicken restaurant, Fast food restaurant",3.7,Open 24 hours,,(604) 872-1532,"A&W Canada, 1715 E Broadway, Vancouver, BC V5N 1W2","fast food, breakfast, root beer, bathroom, poutine, chicken burger, homeless, smile, area, garbage",https://www.google.com/maps/place/A%26W+Canada/data=!4m7!3m6!1s0x5486714ed0b36abd:0xe2f8dd5c48100d99!8m2!3d49.262474!4d-123.0696491!16s%2Fg%2F1hc35nyt6!19sChIJvWqz0E5xhlQRmQ0QSFzd-OI?authuser=0&hl=en&rclk=1
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,4490,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTkyNjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/110085201115745742407,https://lh5.googleusercontent.com/p/AF1QipNkro2KL-N_HNPG7VbbLmnwqzEmgKITc-KJy_2-=w408-h544-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.4,Open 24 hours,,(604) 718-1075,"McDonald's, 1527 Main St, Vancouver, BC V6A 2W5","drive thru, homeless, bathroom, play area, big mac, security guard, mcmuffin, quarter pounder, wifi, science",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x54867166b17f553b:0xbd71c75a4354d4eb!8m2!3d49.2718666!4d-123.1006106!16s%2Fg%2F1tptq99t!19sChIJO1V_sWZxhlQR69RUQ1rHcb0?authuser=0&hl=en&rclk=1
ChIJSxi51iV3hlQR0T8nbv0Rmfw,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,3146,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTk0ODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/114394789384620239884,https://lh5.googleusercontent.com/p/AF1QipNex-hFlHm7IfKKs-BeTzOKDQN7rq4lMoMhUSM7=w408-h544-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.5,Open 24 hours,,(604) 718-1090,"McDonald's, 4410 Still Creek Dr, Burnaby, BC V5C 6C6","drive through, parking, play area, kiosks, renovated, head office, egg mcmuffin, mcflurry, stairs, mcgriddle",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x54867725d6b9184b:0xfc9911fd6e273fd1!8m2!3d49.2602993!4d-123.0055038!16s%2Fg%2F1vm_xkt_!19sChIJSxi51iV3hlQR0T8nbv0Rmfw?authuser=0&hl=en&rclk=1
ChIJm0jRjMt2hlQRO6rSYKwblRY,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,3096,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTk0NzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/115616306610184009562,https://lh5.googleusercontent.com/p/AF1QipPVjJWvWbincSuP7k4dfyw5MHkKISNJVum_-Dl6=w408-h272-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.3,4 a.m.-12 a.m.,,(604) 718-1010,"McDonald's, 2909 Grandview Hwy, Vancouver, BC V5M 2E4","drive thru, coffee, kiosks, renovations, self serve, muffin, happy meal, bathroom, employee, lid",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x548676cb8cd1489b:0x16951bac60d2aa3b!8m2!3d49.2586899!4d-123.0435922!16s%2Fg%2F1tw1djcr!19sChIJm0jRjMt2hlQRO6rSYKwblRY?authuser=0&hl=en&rclk=1
ChIJmyJFUK92hlQR8TKJUkyQBXY,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,2899,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA2NTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/100148608466603888665,https://lh5.googleusercontent.com/p/AF1QipMT3FZHZLv1xDTXtp4cEZAyeUfddGvNFuSttSUY=w408-h318-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.2,4 a.m.-12 a.m.,,(604) 718-1060,"McDonald's, 2021 Kingsway, Vancouver, BC V5N 2T2","drive thru, napkins, kiosk, renovations, traffic, condiments, straw, mess, homeless, egg mcmuffin",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x548676af5045229b:0x7605904c528932f1!8m2!3d49.2451627!4d-123.0641714!16s%2Fg%2F1tqnl9sk!19sChIJmyJFUK92hlQR8TKJUkyQBXY?authuser=0&hl=en&rclk=1
ChIJQYxv_Vh2hlQRYw48kIVpKJQ,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,2652,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA3MjItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/115983130207123458070,https://lh5.googleusercontent.com/p/AF1QipME4pS84ed94ldS-192o4oSnM9xvhNpLEp1Gw6Y=w408-h306-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.6,6 a.m.-12 a.m.,,(604) 718-1005,"McDonald's, 4700 Kingsway #1160, Burnaby, BC V5H 4M1","coffee, mall, machine, big mac, night, system, crowd, social distancing, cone, mcflurry",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x54867658fd6f8c41:0x94286985903c0e63!8m2!3d49.2273362!4d-122.9997347!16s%2Fg%2F1tj4ydff!19sChIJQYxv_Vh2hlQRYw48kIVpKJQ?authuser=0&hl=en&rclk=1
ChIJFexDm9V2hlQRiATw_5yHB5k,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,2578,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA2MTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/107715776832748902065,https://lh5.googleusercontent.com/p/AF1QipP-TeqpmzuqUQaExQpBDNZehJrmKSVe5M0q2TRl=w426-h240-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.4,Open 24 hours,,(604) 718-1050,"McDonald's, 3695 Lougheed Hwy., Vancouver, BC V5M 2A6","drive thru, coffee, parking, big mac, convenient, bagel, patty, self serve, grilled, school",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x548676d59b43ec15:0x9907879cfff00488!8m2!3d49.2659375!4d-123.0243593!16s%2Fg%2F1vntjlcm!19sChIJFexDm9V2hlQRiATw_5yHB5k?authuser=0&hl=en&rclk=1
ChIJnRUJyFh0hlQRjYWSUB-fnZY,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,2404,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA1OTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/100960274261306086705,https://lh5.googleusercontent.com/p/AF1QipNvWfsJs7aUd8wkbKQNZJ6hsAUvPZ1YsOJ2WA5g=w426-h240-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.7,6 a.m.-12 a.m.,,(604) 718-1043,"McDonald's, 160 SW Marine Dr, Vancouver, BC V5X 2R1","drive through, clean, parking, play area, morning, mobile, kiosk, employee, happy meal, patio",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x54867458c809159d:0x969d9f1f5092858d!8m2!3d49.2119042!4d-123.1091738!16s%2Fg%2F1tjz31hr!19sChIJnRUJyFh0hlQRjYWSUB-fnZY?authuser=0&hl=en&rclk=1
ChIJd7pHyHtzhlQR9d68GQ7l70A,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,2359,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTk1MTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/108100434825326528017,https://lh5.googleusercontent.com/p/AF1QipPlN8A4OMKv4n5Xa5OzWjlM1_Pgp9kYq4hAsTPO=w408-h306-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.1,Open 24 hours,,(604) 718-1055,"McDonald's, 2095 W 41st Ave, Vancouver, BC V6M 1Y7","drive thru, parking, renovation, kiosk, ketchup, happy meal, counter, patio, BLT, high school",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x5486737bc847ba77:0x40efe50e19bcdef5!8m2!3d49.2348083!4d-123.1547561!16s%2Fg%2F1v9tzllc!19sChIJd7pHyHtzhlQR9d68GQ7l70A?authuser=0&hl=en&rclk=1
