place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJpW9bz6RzhlQRHLe3OneD9lk,Loblaws City Market Arbutus,,False,1180,https://www.loblaws.ca/store-locator/details/7491%3Futm_source%3DG%26utm_medium%3DLPM%26utm_campaign%3DLoblaws,Loblaws City Market Arbutus (Owner),https://www.google.com/maps/contrib/109315430651979526249,https://lh5.googleusercontent.com/p/AF1QipMG7hkimj1ZxW5TSHACNq7eXqbpdHNMpwiFkesN=w408-h385-k-no,Grocery store,"Grocery store, Bakery, Deli, Fruit and vegetable store, Pharmacy",4.1,7 a.m.-11 p.m.,,(604) 736-2835,"Loblaws City Market Arbutus, 3185 Arbutus St, Vancouver, BC V6J 3Z3","cheese, produce, parking, check, cafe, meals, sushi, PC, organic, convenient",https://www.google.com/maps/place/Loblaws+City+Market+Arbutus/data=!4m7!3m6!1s0x548673a4cf5b6fa5:0x59f683773ab7b71c!8m2!3d49.257457!4d-123.153501!16s%2Fg%2F11bx5pq6nj!19sChIJpW9bz6RzhlQRHLe3OneD9lk?authuser=0&hl=en&rclk=1
ChIJSc3ZA1p0hlQRFIJyr0WRM-Q,Loblaw Pharmacy,,False,96,https://www.realcanadiansuperstore.ca/pharmacy%3FstoreId%3D1517%26utm_source%3DG%26utm_medium%3DLPM%26utm_campaign%3DLoblaws,Loblaw Pharmacy (Owner),https://www.google.com/maps/contrib/107734070789882823116,https://lh5.googleusercontent.com/p/AF1QipP9iso3FpqpgX2xstwgAJ2N2BJr_KRJ7CkR3Mfo=w503-h240-k-no,Pharmacy,"Pharmacy, Drug store",2.7,9 a.m.-10 p.m.,,(604) 322-3704,"Loblaw Pharmacy, 350 SE Marine Dr, Vancouver, BC V5X 2S5","prescription, reviews, phone, counter, check, grocery shopping, pay, price, eye drops, clinic",https://www.google.com/maps/place/Loblaw+Pharmacy/data=!4m7!3m6!1s0x5486745a03d9cd49:0xe4339145af728214!8m2!3d49.20906!4d-123.100052!16s%2Fg%2F113f4ws7l!19sChIJSc3ZA1p0hlQRFIJyr0WRM-Q?authuser=0&hl=en&rclk=1
ChIJAQAAR3R4hlQR_LpBt_dQmXE,Loblaw Pharmacy,,False,63,https://www.realcanadiansuperstore.ca/pharmacy?storeId=1519&utm_source=G&utm_medium=LPM&utm_campaign=Loblaws,Loblaw Pharmacy (Owner),https://www.google.com/maps/contrib/111960931368718062562,https://lh5.googleusercontent.com/p/AF1QipM21R8CwBQrRISYJi023LuI7DUosAHmOVUni6mw=w408-h306-k-no,Pharmacy,"Pharmacy, Drug store",1.5,9 a.m.-10 p.m.,,(604) 520-8304,"Loblaw Pharmacy, 1301 Lougheed Hwy., Coquitlam, BC V3K 6P9","prescription, attitude, phone, number",https://www.google.com/maps/place/Loblaw+Pharmacy/data=!4m7!3m6!1s0x5486787447000001:0x719950f7b741bafc!8m2!3d49.235613!4d-122.856105!16s%2Fg%2F1pzsvhh2c!19sChIJAQAAR3R4hlQR_LpBt_dQmXE?authuser=0&hl=en&rclk=1
ChIJwclhb852hlQRiTaTg5xmImc,Loblaw Pharmacy,,False,51,https://www.realcanadiansuperstore.ca/pharmacy%3FstoreId%3D1520%26utm_source%3DG%26utm_medium%3DLPM%26utm_campaign%3DLoblaws,Loblaw Pharmacy (Owner),https://www.google.com/maps/contrib/106201367498222558126,https://lh5.googleusercontent.com/p/AF1QipN-_w8OI_WovErqnQlAFOb3DowOOV-TIThHZ1Wf=w408-h544-k-no,Pharmacy,"Pharmacy, Drug store",1.7,9 a.m.-10 p.m.,,(604) 436-6404,"Loblaw Pharmacy, 3185 Grandview Hwy, Vancouver, BC V5M 2E9","prescription, phone",https://www.google.com/maps/place/Loblaw+Pharmacy/data=!4m7!3m6!1s0x548676ce6f61c9c1:0x6722669c83933689!8m2!3d49.258969!4d-123.0367341!16s%2Fg%2F11b5wph0ts!19sChIJwclhb852hlQRiTaTg5xmImc?authuser=0&hl=en&rclk=1
ChIJAQAATFl2hlQR_Z9THhzfqdo,Loblaw Pharmacy,,False,46,https://www.realcanadiansuperstore.ca/pharmacy%3FstoreId%3D1518%26utm_source%3DG%26utm_medium%3DLPM%26utm_campaign%3DLoblaws,Loblaw Pharmacy (Owner),https://www.google.com/maps/contrib/115694274997587488063,https://lh5.googleusercontent.com/p/AF1QipOAdOJqY2EeQASttJrlqL4-EXZwEG93Z5cuSFNS=w408-h544-k-no,Pharmacy,"Pharmacy, Drug store",2.2,9 a.m.-10 p.m.,,(604) 439-4404,"Loblaw Pharmacy, 1105 Eaton Ctr, 4700 Kingsway #1105, Burnaby, BC V5H 4M1","prescription, eye, chatting",https://www.google.com/maps/place/Loblaw+Pharmacy/data=!4m7!3m6!1s0x548676594c000001:0xdaa9df1c1e539ffd!8m2!3d49.2264155!4d-123.0005262!16s%2Fg%2F11f52vhgld!19sChIJAQAATFl2hlQR_Z9THhzfqdo?authuser=0&hl=en&rclk=1
ChIJD4fITinahVQRpxZfIz2IawQ,Loblaw Pharmacy,,False,45,https://www.realcanadiansuperstore.ca/pharmacy%3FstoreId%3D1521%26utm_source%3DG%26utm_medium%3DLPM%26utm_campaign%3DLoblaws,Loblaw Pharmacy (Owner),https://www.google.com/maps/contrib/105403540704369147241,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_oW6XzrXBlLuemv9fuC1WA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=106.887436&pitch=0&thumbfov=100,Pharmacy,"Pharmacy, Drug store",1.7,9 a.m.-10 p.m.,,(604) 599-3704,"Loblaw Pharmacy, 7550 King George Blvd, Surrey, BC V3W 2T2","prescription, phone, health, manager",https://www.google.com/maps/place/Loblaw+Pharmacy/data=!4m7!3m6!1s0x5485da294ec8870f:0x46b883d235f16a7!8m2!3d49.139663!4d-122.845258!16s%2Fg%2F11bbw_fzr0!19sChIJD4fITinahVQRpxZfIz2IawQ?authuser=0&hl=en&rclk=1
ChIJ____unLZhVQRe19ikbnEEZU,Loblaw Pharmacy,,False,31,https://www.realcanadiansuperstore.ca/pharmacy%3FstoreId%3D1554%26utm_source%3DG%26utm_medium%3DLPM%26utm_campaign%3DLoblaws,Loblaw Pharmacy (Owner),https://www.google.com/maps/contrib/109585207924138686424,https://lh5.googleusercontent.com/p/AF1QipMuGBxwlrv2i-n3UgpM75yLBULJ5djG0lYpYDHl=w408-h306-k-no,Pharmacy,"Pharmacy, Drug store",2.6,9 a.m.-10 p.m.,,(604) 592-5235,"Loblaw Pharmacy, 8195 120 St, Delta, BC V4C 6P7","prescription, call, faxed",https://www.google.com/maps/place/Loblaw+Pharmacy/data=!4m7!3m6!1s0x5485d972baffffff:0x9511c4b991625f7b!8m2!3d49.151634!4d-122.891631!16s%2Fg%2F1vnrq93z!19sChIJ____unLZhVQRe19ikbnEEZU?authuser=0&hl=en&rclk=1
ChIJfUj6li51hlQR5WjqmyzOGP8,Loblaw Pharmacy,,False,26,https://www.realcanadiansuperstore.ca/pharmacy?storeId=1557&utm_source=G&utm_medium=LPM&utm_campaign=Loblaws,Loblaw Pharmacy (Owner),https://www.google.com/maps/contrib/105947467095596599453,https://lh5.googleusercontent.com/p/AF1QipM_KMtXVGa1dZNWgmzBjBRiqLEvdz9RmHtP7RTb=w408-h544-k-no,Pharmacy,"Pharmacy, Drug store",2.5,9 a.m.-9 p.m.,,(604) 233-2435,"Loblaw Pharmacy, 4651 No. 3 Rd, Richmond, BC V6X 2C4",,https://www.google.com/maps/place/Loblaw+Pharmacy/data=!4m7!3m6!1s0x5486752e96fa487d:0xff18ce2c9bea68e5!8m2!3d49.179319!4d-123.138493!16s%2Fg%2F11b5wlzx07!19sChIJfUj6li51hlQR5WjqmyzOGP8?authuser=0&hl=en&rclk=1
ChIJK6JLhohwhlQR8OuTDO8pMqE,Loblaw Pharmacy,,False,23,https://www.realcanadiansuperstore.ca/pharmacy?storeId=1560&utm_source=G&utm_medium=LPM&utm_campaign=Loblaws,Loblaw Pharmacy (Owner),https://www.google.com/maps/contrib/104079918453078314876,https://lh5.googleusercontent.com/p/AF1QipPTsJ2J_Eftf7P16FlIH38oTZqdHOkHpfwucXL6=w408-h306-k-no,Pharmacy,"Pharmacy, Drug store",1.3,9 a.m.-10 p.m.,,(604) 904-5535,"Loblaw Pharmacy, 333 Seymour Blvd, North Vancouver, BC V7J 2J4","prescription, phone, allergies, fax, management",https://www.google.com/maps/place/Loblaw+Pharmacy/data=!4m7!3m6!1s0x54867088864ba22b:0xa13229ef0c93ebf0!8m2!3d49.311449!4d-123.0237649!16s%2Fg%2F11f57kcgwv!19sChIJK6JLhohwhlQR8OuTDO8pMqE?authuser=0&hl=en&rclk=1
ChIJ74lAD4B2hlQRJ0soQF8ohv8,Loblaw Pharmacy,,False,17,https://www.yourindependentgrocer.ca/pharmacy%3FstoreId%3D1697%26utm_source%3DG%26utm_medium%3DLPM%26utm_campaign%3DLoblaws,Loblaw Pharmacy (Owner),https://www.google.com/maps/contrib/109704479498561312887,https://lh5.googleusercontent.com/p/AF1QipM5EV398dM0HLzT0yLbJuU2KgpBmB3H7drh7EJn=w408-h306-k-no,Pharmacy,"Pharmacy, Drug store",3.6,9 a.m.-9 p.m.,,(604) 430-3381,"Loblaw Pharmacy, 7190 Kerr St, Vancouver, BC V5S 4W2",,https://www.google.com/maps/place/Loblaw+Pharmacy/data=!4m7!3m6!1s0x548676800f4089ef:0xff86285f40284b27!8m2!3d49.218827!4d-123.039827!16s%2Fg%2F11ggqdg_ld!19sChIJ74lAD4B2hlQRJ0soQF8ohv8?authuser=0&hl=en&rclk=1
