place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJz8KVrH9xhlQRLmjJfMc3Hbc,Five Guys,"Fast-food chain with made-to-order burgers, fries & hot dogs, plus free peanuts while you wait.",False,3930,https://restaurants.fiveguys.ca/635-robson-street,Five Guys (Owner),https://www.google.com/maps/contrib/112081765072299579388,https://lh5.googleusercontent.com/p/AF1QipPzgcYj6vqxc9mDE6mHcypA4PrNLnlEqlhpORUE=w426-h240-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Hot dog restaurant, Hot dog stand, Restaurant",4.3,10:30 a.m.-10 p.m.,,(604) 685-1585,"Five Guys, 635 Robson St, Vancouver, BC V6B 5J3","peanuts, burger and fries, cajun fries, bacon cheeseburger, patty, toppings, spicy fries, processed cheese, veggie sandwich, infinity",https://www.google.com/maps/place/Five+Guys/data=!4m7!3m6!1s0x5486717fac95c2cf:0xb71d37c77cc9682e!8m2!3d49.2810797!4d-123.119073!16s%2Fg%2F12hlt9kdg!19sChIJz8KVrH9xhlQRLmjJfMc3Hbc?authuser=0&hl=en&rclk=1
ChIJA4KAIr9zhlQRiJTB-fSnrbg,Bin 4 Burger Lounge,"Busy, modern grill offering inventive, locally sourced burgers, handcut fries & draft brews.",False,2293,http://www.bin4burgerlounge.com/,Bin 4 Burger Lounge (Owner),https://www.google.com/maps/contrib/100718098801885822812,https://lh5.googleusercontent.com/p/AF1QipMoXwAYNgN5dkzB1kFEdZByMfy6w9d8It5hPRBE=w408-h306-k-no,Hamburger restaurant,Hamburger restaurant,4.5,11 a.m.-10 p.m.,,(604) 428-7649,"Bin 4 Burger Lounge, 2996 Granville St, Vancouver, BC V6H 3J7","happy hour, drink, aioli, patio, big dipper, tuna, mushroom burger, bison burger, wagyu, sweet corn",https://www.google.com/maps/place/Bin+4+Burger+Lounge/data=!4m7!3m6!1s0x548673bf22808203:0xb8ada7f4f9c19488!8m2!3d49.2590677!4d-123.1384472!16s%2Fg%2F11gbhfy2yn!19sChIJA4KAIr9zhlQRiJTB-fSnrbg?authuser=0&hl=en&rclk=1
ChIJ97WWP4ZzhlQRt_hXLx5oCEM,Vonns Vancouver Smash Burgers and Cheesesteak | Smash Burgers | Shakes | Cheesesteak | Nashville Fried Chicken,"Laid-back venue offering hearty chicken dishes & burgers in a snug space, plus views of English Bay.",False,1291,http://vonns.ca/,Vonns Vancouver Smash Burgers and Cheesesteak | Smash Burgers | Shakes | Cheesesteak | Nashville Fried Chicken (Owner),https://www.google.com/maps/contrib/107372285143971721705,https://lh5.googleusercontent.com/p/AF1QipMShjuFXXlt6l-759inuZkp43QKIpkZvMsHTUa5=w408-h306-k-no,Restaurant,Restaurant,4.7,12-9 p.m.,,(604) 669-8988,"Vonns Vancouver Smash Burgers and Cheesesteak | Smash Burgers | Shakes | Cheesesteak | Nashville Fried Chicken, 1184 Denman St #104, Vancouver, BC V6M 2M9",,https://www.google.com/maps/place/Vonns+Vancouver+Smash+Burgers+and+Cheesesteak+%7C+Smash+Burgers+%7C+Shakes+%7C+Cheesesteak+%7C+Nashville+Fried+Chicken/data=!4m7!3m6!1s0x548673863f96b5f7:0x4308681e2f57f8b7!8m2!3d49.2873418!4d-123.1414364!16s%2Fg%2F11jn_k59_n!19sChIJ97WWP4ZzhlQRt_hXLx5oCEM?authuser=0&hl=en&rclk=1
ChIJP0uoutRzhlQRZ3p1bV9B9AQ,Vera's Burger Shack,,False,926,http://www.verasburgershack.com/,Vera's Burger Shack (Owner),https://www.google.com/maps/contrib/102625787872167899570,https://lh5.googleusercontent.com/p/AF1QipNMDxsDd9uMOwGtxZ_5TpZ4Du4m0aq4U4FFe8Rx=w408-h306-k-no,Hamburger restaurant,"Hamburger restaurant, American restaurant, Fast food restaurant, Restaurant",4.2,12 p.m.-5 a.m.,,(604) 893-8372,"Vera's Burger Shack, 1030 Davie St, Vancouver, BC V6E 1N2","onion rings, bun, poutine, lamb, night, phone, coupon, ruby, dollars, check",https://www.google.com/maps/place/Vera%27s+Burger+Shack/data=!4m7!3m6!1s0x548673d4baa84b3f:0x4f4415f6d757a67!8m2!3d49.2795134!4d-123.1300768!16s%2Fg%2F1xfsnfmg!19sChIJP0uoutRzhlQRZ3p1bV9B9AQ?authuser=0&hl=en&rclk=1
ChIJa3ZV1dRzhlQR_GgH_nugctc,Hundy,,False,677,http://www.hundy.ca/,Hundy (Owner),https://www.google.com/maps/contrib/111177365666356417443,https://lh5.googleusercontent.com/p/AF1QipPkhFxzVOFArpVdk5mhlYCRfWBT4BAJRD44ONZ8=w408-h408-k-no,Hamburger restaurant,"Hamburger restaurant, Restaurant",4.3,4 p.m.-1 a.m.,Monday,(604) 800-5884,"Hundy, 1144 Homer St, Vancouver, BC V6B 2X6","chicken sandwich, bun, poutine, bacon cheeseburger, spicy, solid, cabbage salad, speakeasy, hipster, donuts",https://www.google.com/maps/place/Hundy/data=!4m7!3m6!1s0x548673d4d555766b:0xd772a07bfe0768fc!8m2!3d49.2757377!4d-123.122299!16s%2Fg%2F11gxxqbwct!19sChIJa3ZV1dRzhlQR_GgH_nugctc?authuser=0&hl=en&rclk=1
ChIJA_fL1dNzhlQR5Ymb-FkPyV0,Juicy Joe's Burgers,,False,624,http://www.juicyjoes.ca/,Juicy Joe's Burgers (Owner),https://www.google.com/maps/contrib/117199779011521989657,https://lh5.googleusercontent.com/p/AF1QipMAeqGCL4SsTlVQKcQwdzZOTT4ebqUDCgQoPrYi=w408-h306-k-no,Restaurant,Restaurant,4.9,5 p.m.-1 a.m.,Monday,(778) 833-3511,"Juicy Joe's Burgers, 2211 Granville St, Vancouver, BC V6H 3G1","patty, bun, truffle fries, bacon cheeseburger, burger and fries, mushroom and swiss burger, truffle mushroom burger, caramelized onions, truffle burger, blue cheese burger",https://www.google.com/maps/place/Juicy+Joe%27s+Burgers/data=!4m7!3m6!1s0x548673d3d5cbf703:0x5dc90f59f89b89e5!8m2!3d49.2659984!4d-123.1387561!16s%2Fg%2F11rcxkl1wb!19sChIJA_fL1dNzhlQR5Ymb-FkPyV0?authuser=0&hl=en&rclk=1
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,,False,523,http://www.verasburgershack.com/,Vera's Burger Shack (Owner),https://www.google.com/maps/contrib/112481663126216232602,https://lh5.googleusercontent.com/p/AF1QipN7mGte4Wr_IjvbWKx1X7jIcdZQF6cVlpBG7Z1b=w487-h240-k-no,Hamburger restaurant,"Hamburger restaurant, American restaurant, Fast food restaurant, Restaurant",4.2,11 a.m.-10:30 p.m.,,(604) 709-8372,"Vera's Burger Shack, 2922 Main St, Vancouver, BC V5T 3G3","price, onion rings, fast food, money, lamb burger, buffalo chicken burger, poutine, yam, seasoning, hockey",https://www.google.com/maps/place/Vera%27s+Burger+Shack/data=!4m7!3m6!1s0x548673e3a348cdc9:0x32cd7af8fb8d278e!8m2!3d49.2589373!4d-123.1009244!16s%2Fg%2F1tff2qvt!19sChIJyc1Io-NzhlQRjieN-_h6zTI?authuser=0&hl=en&rclk=1
ChIJf-jSlfFzhlQRTOfOah418is,Burger Crush,,False,514,https://burgercrush.ca/,Burger Crush (Owner),https://www.google.com/maps/contrib/104293152347113557276,https://lh5.googleusercontent.com/p/AF1QipP1DfYAiLMaCcNI3sIalER0gE64jGwv2mfNvlGo=w408-h544-k-no,Hamburger restaurant,Hamburger restaurant,4.4,11 a.m.-10 p.m.,,(604) 416-5169,"Burger Crush, 755 Nelson St, Vancouver, BC V6Z 1V3","milkshake, cheeseburger, vegan, burger and fries, nuggets, strawberry shake, root beer, the menu, tofu, gluten free bun",https://www.google.com/maps/place/Burger+Crush/data=!4m7!3m6!1s0x548673f195d2e87f:0x2bf2351e6acee74c!8m2!3d49.2797631!4d-123.1234938!16s%2Fg%2F11jzh7f17l!19sChIJf-jSlfFzhlQRTOfOah418is?authuser=0&hl=en&rclk=1
ChIJ1S8S8tdzhlQRrGQRKDN6P5E,Chit Chat Burger Bar,"Spacious, sleek operation furnishing handcrafted burgers, plus cocktails, wine & shakes.",False,466,http://www.chitchatburgerbar.com/,Chit Chat Burger Bar (Owner),https://www.google.com/maps/contrib/104773498406289282178,https://lh5.googleusercontent.com/p/AF1QipOQJV06T3QgJEvMNc2TxWxM9NU5VyYFzXMxIeGI=w408-h272-k-no,Restaurant,"Restaurant, Bar, Cocktail bar, Hamburger restaurant",4.3,4 p.m.-1 a.m.,,(604) 688-8887,"Chit Chat Burger Bar, 955 Granville St, Vancouver, BC V6Z 1L3","music, happy hour, drinks, milkshake, bun, patty, poutine, bacon cheeseburger, garlic fries, churro",https://www.google.com/maps/place/Chit+Chat+Burger+Bar/data=!4m7!3m6!1s0x548673d7f2122fd5:0x913f7a33281164ac!8m2!3d49.2798579!4d-123.1224815!16s%2Fg%2F11fwqf9db6!19sChIJ1S8S8tdzhlQRrGQRKDN6P5E?authuser=0&hl=en&rclk=1
ChIJYyyEbYJxhlQR1NGauLhTI5Q,Wakwak Burger,"Beef burgers with standard & Japanese variations, served with fries & soft drinks through a window.",False,183,,Wakwak Burger (Owner),https://www.google.com/maps/contrib/108584642119459434149,https://lh5.googleusercontent.com/p/AF1QipNubqp2OvLR0fQfrDDhYtRfQj4QybzQgHfIgMBR=w408-h306-k-no,Hamburger restaurant,"Hamburger restaurant, American restaurant, Fast food restaurant",4.4,,,(778) 998-0285,"Wakwak Burger, 511 Granville St, Vancouver, BC V6C 1X6","price, teriyaki, food truck, cheese burger, bun, okonomiyaki, dollar, walking, japanese, street food",https://www.google.com/maps/place/Wakwak+Burger/data=!4m7!3m6!1s0x548671826d842c63:0x942353b8b89ad1d4!8m2!3d49.284633!4d-123.1152376!16s%2Fg%2F11bwl3x1j1!19sChIJYyyEbYJxhlQR1NGauLhTI5Q?authuser=0&hl=en&rclk=1
